#fuzzer,benchmark,driver,run,execs_done,fuzz_time
afl,libtiff_9_1,tiff_read_rgba_fuzzer,0,6666589,550
afl,libtiff_9_1,tiff_read_rgba_fuzzer,3,6418164,549
afl,libtiff_9_1,tiff_read_rgba_fuzzer,1,6410831,550
afl,libtiff_9_1,tiff_read_rgba_fuzzer,8,6163561,547
afl,libtiff_9_1,tiff_read_rgba_fuzzer,6,6768203,547
afl,libtiff_9_1,tiff_read_rgba_fuzzer,9,5812697,547
afl,libtiff_9_1,tiff_read_rgba_fuzzer,2,5916103,550
afl,libtiff_9_1,tiff_read_rgba_fuzzer,5,6439235,550
afl,libtiff_9_1,tiff_read_rgba_fuzzer,7,6600330,547
afl,libtiff_9_1,tiff_read_rgba_fuzzer,4,6490604,550
afl,libsndfile_7_1,sndfile_fuzzer,0,425681,581
afl,libsndfile_7_1,sndfile_fuzzer,3,473337,581
afl,libsndfile_7_1,sndfile_fuzzer,1,474752,582
afl,libsndfile_7_1,sndfile_fuzzer,8,481394,581
afl,libsndfile_7_1,sndfile_fuzzer,6,482750,581
afl,libsndfile_7_1,sndfile_fuzzer,9,488958,582
afl,libsndfile_7_1,sndfile_fuzzer,2,510740,581
afl,libsndfile_7_1,sndfile_fuzzer,5,474920,582
afl,libsndfile_7_1,sndfile_fuzzer,7,510699,581
afl,libsndfile_7_1,sndfile_fuzzer,4,510625,582
afl,openssl_1_3,bignum,0,1031349,596
afl,openssl_1_3,bignum,3,1570153,596
afl,openssl_1_3,bignum,1,1520058,596
afl,openssl_1_3,bignum,8,853980,596
afl,openssl_1_3,bignum,6,1580244,597
afl,openssl_1_3,bignum,9,1593113,596
afl,openssl_1_3,bignum,2,1618518,596
afl,openssl_1_3,bignum,5,1560503,597
afl,openssl_1_3,bignum,7,1501169,596
afl,openssl_1_3,bignum,4,1554460,597
afl,libpng_4_1,libpng_read_fuzzer,0,10252483,599
afl,libpng_4_1,libpng_read_fuzzer,3,11782761,599
afl,libpng_4_1,libpng_read_fuzzer,1,12017906,599
afl,libpng_4_1,libpng_read_fuzzer,8,5463103,599
afl,libpng_4_1,libpng_read_fuzzer,6,11164567,600
afl,libpng_4_1,libpng_read_fuzzer,9,12598125,599
afl,libpng_4_1,libpng_read_fuzzer,2,10741135,599
afl,libpng_4_1,libpng_read_fuzzer,5,5467867,599
afl,libpng_4_1,libpng_read_fuzzer,7,6241455,600
afl,libpng_4_1,libpng_read_fuzzer,4,10926142,599
afl,openssl_12_6,x509,0,964040,592
afl,openssl_12_6,x509,3,907904,592
afl,openssl_12_6,x509,1,901814,592
afl,openssl_12_6,x509,8,527226,592
afl,openssl_12_6,x509,6,913422,591
afl,openssl_12_6,x509,9,543639,592
afl,openssl_12_6,x509,2,586082,592
afl,openssl_12_6,x509,5,510769,592
afl,openssl_12_6,x509,7,643331,592
afl,openssl_12_6,x509,4,876068,592
afl,php_11_2,exif,0,3225125,599
afl,php_11_2,exif,3,2673656,599
afl,php_11_2,exif,1,2733328,599
afl,php_11_2,exif,8,3195722,599
afl,php_11_2,exif,6,1763794,599
afl,php_11_2,exif,9,2896350,599
afl,php_11_2,exif,2,2782617,599
afl,php_11_2,exif,5,1800689,599
afl,php_11_2,exif,7,3184496,599
afl,php_11_2,exif,4,2949787,599
afl,openssl_11_4,server,0,82896,526
afl,openssl_11_4,server,3,82759,526
afl,openssl_11_4,server,1,82934,526
afl,openssl_11_4,server,8,83410,523
afl,openssl_11_4,server,6,82180,521
afl,openssl_11_4,server,9,82289,522
afl,openssl_11_4,server,2,83264,525
afl,openssl_11_4,server,5,82639,520
afl,openssl_11_4,server,7,82618,523
afl,openssl_11_4,server,4,82445,518
afl,poppler_9_1,pdf_fuzzer,0,27096,0
afl,poppler_9_1,pdf_fuzzer,3,26838,0
afl,poppler_9_1,pdf_fuzzer,1,27059,0
afl,poppler_9_1,pdf_fuzzer,8,26875,0
afl,poppler_9_1,pdf_fuzzer,6,26865,0
afl,poppler_9_1,pdf_fuzzer,9,26838,0
afl,poppler_9_1,pdf_fuzzer,2,26838,0
afl,poppler_9_1,pdf_fuzzer,5,26838,0
afl,poppler_9_1,pdf_fuzzer,7,26822,0
afl,poppler_9_1,pdf_fuzzer,4,26820,0
afl,php_16_3,unserialize,0,8300964,600
afl,php_16_3,unserialize,3,8284522,599
afl,php_16_3,unserialize,1,8430739,600
afl,php_16_3,unserialize,8,8317503,600
afl,php_16_3,unserialize,6,8264588,600
afl,php_16_3,unserialize,9,8315619,600
afl,php_16_3,unserialize,2,8319012,600
afl,php_16_3,unserialize,5,8193404,600
afl,php_16_3,unserialize,7,8411958,600
afl,php_16_3,unserialize,4,8373881,599
afl,poppler_3_1,pdf_fuzzer,0,27050,0
afl,poppler_3_1,pdf_fuzzer,3,26820,0
afl,poppler_3_1,pdf_fuzzer,1,27125,0
afl,poppler_3_1,pdf_fuzzer,8,26727,0
afl,poppler_3_1,pdf_fuzzer,6,26726,0
afl,poppler_3_1,pdf_fuzzer,9,26727,0
afl,poppler_3_1,pdf_fuzzer,2,26747,0
afl,poppler_3_1,pdf_fuzzer,5,26727,0
afl,poppler_3_1,pdf_fuzzer,7,26748,0
afl,poppler_3_1,pdf_fuzzer,4,26727,0
afl,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,0,1861848,575
afl,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,3,1818633,575
afl,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,1,1903687,575
afl,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,8,1768180,574
afl,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,6,1545636,575
afl,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,9,1744687,574
afl,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,2,1508177,574
afl,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,5,1820125,575
afl,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,7,1606194,575
afl,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,4,1771108,575
afl,openssl_1_5,client,0,280088,555
afl,openssl_1_5,client,3,281301,556
afl,openssl_1_5,client,1,280877,556
afl,openssl_1_5,client,8,281908,556
afl,openssl_1_5,client,6,281498,556
afl,openssl_1_5,client,9,280793,553
afl,openssl_1_5,client,2,280651,556
afl,openssl_1_5,client,5,260149,556
afl,openssl_1_5,client,7,280138,556
afl,openssl_1_5,client,4,280465,555
afl,libxml2_10_2,libxml2_xml_read_memory_fuzzer,0,148566,573
afl,libxml2_10_2,libxml2_xml_read_memory_fuzzer,3,156709,572
afl,libxml2_10_2,libxml2_xml_read_memory_fuzzer,1,137983,572
afl,libxml2_10_2,libxml2_xml_read_memory_fuzzer,8,148994,574
afl,libxml2_10_2,libxml2_xml_read_memory_fuzzer,6,149281,573
afl,libxml2_10_2,libxml2_xml_read_memory_fuzzer,9,216804,575
afl,libxml2_10_2,libxml2_xml_read_memory_fuzzer,2,139424,573
afl,libxml2_10_2,libxml2_xml_read_memory_fuzzer,5,148696,572
afl,libxml2_10_2,libxml2_xml_read_memory_fuzzer,7,170693,573
afl,libxml2_10_2,libxml2_xml_read_memory_fuzzer,4,148671,572
afl,openssl_11_6,x509,0,902975,592
afl,openssl_11_6,x509,3,517822,592
afl,openssl_11_6,x509,1,902597,592
afl,openssl_11_6,x509,8,863488,591
afl,openssl_11_6,x509,6,564075,592
afl,openssl_11_6,x509,9,920943,592
afl,openssl_11_6,x509,2,572060,591
afl,openssl_11_6,x509,5,561935,592
afl,openssl_11_6,x509,7,545670,591
afl,openssl_11_6,x509,4,575779,592
afl,openssl_6_4,server,0,81918,527
afl,openssl_6_4,server,3,81813,527
afl,openssl_6_4,server,1,81662,527
afl,openssl_6_4,server,8,82241,524
afl,openssl_6_4,server,6,82296,523
afl,openssl_6_4,server,9,82425,524
afl,openssl_6_4,server,2,81509,528
afl,openssl_6_4,server,5,82137,528
afl,openssl_6_4,server,7,81674,524
afl,openssl_6_4,server,4,82289,527
afl,poppler_17_1,pdf_fuzzer,0,27123,0
afl,poppler_17_1,pdf_fuzzer,3,27095,0
afl,poppler_17_1,pdf_fuzzer,1,27059,0
afl,poppler_17_1,pdf_fuzzer,8,27095,0
afl,poppler_17_1,pdf_fuzzer,6,27058,0
afl,poppler_17_1,pdf_fuzzer,9,27096,0
afl,poppler_17_1,pdf_fuzzer,2,27058,0
afl,poppler_17_1,pdf_fuzzer,5,27095,0
afl,poppler_17_1,pdf_fuzzer,7,26827,0
afl,poppler_17_1,pdf_fuzzer,4,27096,0
afl,libxml2_12_2,libxml2_xml_read_memory_fuzzer,0,140102,574
afl,libxml2_12_2,libxml2_xml_read_memory_fuzzer,3,376277,573
afl,libxml2_12_2,libxml2_xml_read_memory_fuzzer,1,140054,574
afl,libxml2_12_2,libxml2_xml_read_memory_fuzzer,8,153688,573
afl,libxml2_12_2,libxml2_xml_read_memory_fuzzer,6,139406,573
afl,libxml2_12_2,libxml2_xml_read_memory_fuzzer,9,155294,574
afl,libxml2_12_2,libxml2_xml_read_memory_fuzzer,2,210020,575
afl,libxml2_12_2,libxml2_xml_read_memory_fuzzer,5,139801,573
afl,libxml2_12_2,libxml2_xml_read_memory_fuzzer,7,139648,575
afl,libxml2_12_2,libxml2_xml_read_memory_fuzzer,4,207319,574
afl,libsndfile_2_1,sndfile_fuzzer,0,498860,583
afl,libsndfile_2_1,sndfile_fuzzer,3,457624,582
afl,libsndfile_2_1,sndfile_fuzzer,1,498228,583
afl,libsndfile_2_1,sndfile_fuzzer,8,478210,581
afl,libsndfile_2_1,sndfile_fuzzer,6,485585,582
afl,libsndfile_2_1,sndfile_fuzzer,9,488988,582
afl,libsndfile_2_1,sndfile_fuzzer,2,469523,582
afl,libsndfile_2_1,sndfile_fuzzer,5,456339,582
afl,libsndfile_2_1,sndfile_fuzzer,7,469994,581
afl,libsndfile_2_1,sndfile_fuzzer,4,461926,581
afl,php_4_1,json,0,6009237,600
afl,php_4_1,json,3,6807146,600
afl,php_4_1,json,1,6630812,600
afl,php_4_1,json,8,6773901,599
afl,php_4_1,json,6,7105654,599
afl,php_4_1,json,9,5746139,600
afl,php_4_1,json,2,6744176,600
afl,php_4_1,json,5,6193031,599
afl,php_4_1,json,7,7201693,599
afl,php_4_1,json,4,5801256,600
afl,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,0,1453965,566
afl,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,3,1475896,566
afl,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,1,1438822,566
afl,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,8,1803180,565
afl,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,6,1388074,563
afl,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,9,1724466,565
afl,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,2,1471306,566
afl,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,5,1474349,566
afl,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,7,1532237,563
afl,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,4,1481044,566
afl,openssl_19_1,asn1,0,82738,509
afl,openssl_19_1,asn1,3,83302,509
afl,openssl_19_1,asn1,1,83394,508
afl,openssl_19_1,asn1,8,83312,505
afl,openssl_19_1,asn1,6,83376,509
afl,openssl_19_1,asn1,9,82790,503
afl,openssl_19_1,asn1,2,83536,509
afl,openssl_19_1,asn1,5,82808,509
afl,openssl_19_1,asn1,7,82728,508
afl,openssl_19_1,asn1,4,83194,509
afl,libsndfile_15_1,sndfile_fuzzer,0,474491,582
afl,libsndfile_15_1,sndfile_fuzzer,3,471549,582
afl,libsndfile_15_1,sndfile_fuzzer,1,474196,582
afl,libsndfile_15_1,sndfile_fuzzer,8,492471,582
afl,libsndfile_15_1,sndfile_fuzzer,6,429700,581
afl,libsndfile_15_1,sndfile_fuzzer,9,487749,581
afl,libsndfile_15_1,sndfile_fuzzer,2,460569,582
afl,libsndfile_15_1,sndfile_fuzzer,5,488342,581
afl,libsndfile_15_1,sndfile_fuzzer,7,430746,582
afl,libsndfile_15_1,sndfile_fuzzer,4,471849,581
afl,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,0,1364089,573
afl,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,3,1241315,572
afl,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,1,1339108,572
afl,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,8,1344506,570
afl,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,6,1371771,573
afl,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,9,1245699,570
afl,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,2,1374223,573
afl,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,5,1335342,571
afl,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,7,1331368,572
afl,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,4,1219958,573
afl,openssl_8_1,asn1,0,87400,508
afl,openssl_8_1,asn1,3,85965,508
afl,openssl_8_1,asn1,1,85731,508
afl,openssl_8_1,asn1,8,86158,504
afl,openssl_8_1,asn1,6,86222,508
afl,openssl_8_1,asn1,9,86482,504
afl,openssl_8_1,asn1,2,85850,508
afl,openssl_8_1,asn1,5,85982,508
afl,openssl_8_1,asn1,7,87936,508
afl,openssl_8_1,asn1,4,112197,508
afl,libxml2_1_2,libxml2_xml_read_memory_fuzzer,0,140765,576
afl,libxml2_1_2,libxml2_xml_read_memory_fuzzer,3,204868,576
afl,libxml2_1_2,libxml2_xml_read_memory_fuzzer,1,139819,576
afl,libxml2_1_2,libxml2_xml_read_memory_fuzzer,8,199635,577
afl,libxml2_1_2,libxml2_xml_read_memory_fuzzer,6,156842,576
afl,libxml2_1_2,libxml2_xml_read_memory_fuzzer,9,160711,576
afl,libxml2_1_2,libxml2_xml_read_memory_fuzzer,2,140336,576
afl,libxml2_1_2,libxml2_xml_read_memory_fuzzer,5,140513,576
afl,libxml2_1_2,libxml2_xml_read_memory_fuzzer,7,140706,576
afl,libxml2_1_2,libxml2_xml_read_memory_fuzzer,4,140419,576
afl,openssl_7_2,asn1parse,0,829963,600
afl,openssl_7_2,asn1parse,3,732437,599
afl,openssl_7_2,asn1parse,1,769238,600
afl,openssl_7_2,asn1parse,8,852092,600
afl,openssl_7_2,asn1parse,6,758576,599
afl,openssl_7_2,asn1parse,9,783605,600
afl,openssl_7_2,asn1parse,2,790294,599
afl,openssl_7_2,asn1parse,5,742469,600
afl,openssl_7_2,asn1parse,7,870445,600
afl,openssl_7_2,asn1parse,4,829815,599
afl,openssl_4_4,server,0,81875,523
afl,openssl_4_4,server,3,81405,523
afl,openssl_4_4,server,1,81852,523
afl,openssl_4_4,server,8,81428,520
afl,openssl_4_4,server,6,80804,518
