#fuzzer,benchmark,driver,run,execs_done,fuzz_time
aflgoexp,libtiff_9_1,tiff_read_rgba_fuzzer,0,5353270,517
aflgoexp,libtiff_9_1,tiff_read_rgba_fuzzer,3,3082867,518
aflgoexp,libtiff_9_1,tiff_read_rgba_fuzzer,1,4113041,517
aflgoexp,libtiff_9_1,tiff_read_rgba_fuzzer,8,5049369,514
aflgoexp,libtiff_9_1,tiff_read_rgba_fuzzer,6,5433867,514
aflgoexp,libtiff_9_1,tiff_read_rgba_fuzzer,9,5482398,514
aflgoexp,libtiff_9_1,tiff_read_rgba_fuzzer,2,5858749,518
aflgoexp,libtiff_9_1,tiff_read_rgba_fuzzer,5,5491041,514
aflgoexp,libtiff_9_1,tiff_read_rgba_fuzzer,7,5457278,514
aflgoexp,libtiff_9_1,tiff_read_rgba_fuzzer,4,5880390,514
aflgoexp,libsndfile_7_1,sndfile_fuzzer,0,479517,568
aflgoexp,libsndfile_7_1,sndfile_fuzzer,3,472787,567
aflgoexp,libsndfile_7_1,sndfile_fuzzer,1,469424,568
aflgoexp,libsndfile_7_1,sndfile_fuzzer,8,466977,567
aflgoexp,libsndfile_7_1,sndfile_fuzzer,6,468809,567
aflgoexp,libsndfile_7_1,sndfile_fuzzer,9,463502,567
aflgoexp,libsndfile_7_1,sndfile_fuzzer,2,479691,568
aflgoexp,libsndfile_7_1,sndfile_fuzzer,5,476640,568
aflgoexp,libsndfile_7_1,sndfile_fuzzer,7,475798,568
aflgoexp,libsndfile_7_1,sndfile_fuzzer,4,477232,568
aflgoexp,openssl_1_3,bignum,0,713074,588
aflgoexp,openssl_1_3,bignum,3,822242,588
aflgoexp,openssl_1_3,bignum,1,759412,588
aflgoexp,openssl_1_3,bignum,8,803155,588
aflgoexp,openssl_1_3,bignum,6,800545,588
aflgoexp,openssl_1_3,bignum,9,523785,588
aflgoexp,openssl_1_3,bignum,2,552628,588
aflgoexp,openssl_1_3,bignum,5,664833,588
aflgoexp,openssl_1_3,bignum,7,567359,588
aflgoexp,openssl_1_3,bignum,4,667518,588
aflgoexp,libpng_4_1,libpng_read_fuzzer,0,5904728,599
aflgoexp,libpng_4_1,libpng_read_fuzzer,3,12994623,599
aflgoexp,libpng_4_1,libpng_read_fuzzer,1,10668649,599
aflgoexp,libpng_4_1,libpng_read_fuzzer,8,5942464,599
aflgoexp,libpng_4_1,libpng_read_fuzzer,6,5879576,599
aflgoexp,libpng_4_1,libpng_read_fuzzer,9,11855586,599
aflgoexp,libpng_4_1,libpng_read_fuzzer,2,11341334,599
aflgoexp,libpng_4_1,libpng_read_fuzzer,5,11391496,599
aflgoexp,libpng_4_1,libpng_read_fuzzer,7,10945800,599
aflgoexp,libpng_4_1,libpng_read_fuzzer,4,6023488,599
aflgoexp,openssl_12_6,x509,0,12614831,592
aflgoexp,openssl_12_6,x509,3,12353555,592
aflgoexp,openssl_12_6,x509,1,12518966,592
aflgoexp,openssl_12_6,x509,8,12354979,592
aflgoexp,openssl_12_6,x509,6,12039577,592
