#fuzzer,benchmark,driver,run,execs_done,fuzz_time
tunefuzz,libtiff_9_1,tiff_read_rgba_fuzzer,0,43279,505
tunefuzz,libtiff_9_1,tiff_read_rgba_fuzzer,3,294040,503
tunefuzz,libtiff_9_1,tiff_read_rgba_fuzzer,1,1566447,505
tunefuzz,libtiff_9_1,tiff_read_rgba_fuzzer,8,96122,504
tunefuzz,libtiff_9_1,tiff_read_rgba_fuzzer,6,466247,504
tunefuzz,libtiff_9_1,tiff_read_rgba_fuzzer,9,253664,506
tunefuzz,libtiff_9_1,tiff_read_rgba_fuzzer,2,181049,506
tunefuzz,libtiff_9_1,tiff_read_rgba_fuzzer,5,702116,505
tunefuzz,libtiff_9_1,tiff_read_rgba_fuzzer,7,438469,505
tunefuzz,libtiff_9_1,tiff_read_rgba_fuzzer,4,85343,505
tunefuzz,libsndfile_7_1,sndfile_fuzzer,0,111135,546
tunefuzz,libsndfile_7_1,sndfile_fuzzer,3,110061,546
tunefuzz,libsndfile_7_1,sndfile_fuzzer,1,255343,548
tunefuzz,libsndfile_7_1,sndfile_fuzzer,8,307317,548
tunefuzz,libsndfile_7_1,sndfile_fuzzer,6,152876,548
tunefuzz,libsndfile_7_1,sndfile_fuzzer,9,262838,548
tunefuzz,libsndfile_7_1,sndfile_fuzzer,2,133431,547
tunefuzz,libsndfile_7_1,sndfile_fuzzer,5,237870,546
tunefuzz,libsndfile_7_1,sndfile_fuzzer,7,226435,545
tunefuzz,libsndfile_7_1,sndfile_fuzzer,4,296519,548
tunefuzz,openssl_1_3,bignum,0,89813,586
tunefuzz,openssl_1_3,bignum,3,82493,586
tunefuzz,openssl_1_3,bignum,1,119815,586
tunefuzz,openssl_1_3,bignum,8,110926,586
tunefuzz,openssl_1_3,bignum,6,102449,586
tunefuzz,openssl_1_3,bignum,9,133620,586
tunefuzz,openssl_1_3,bignum,2,89844,586
tunefuzz,openssl_1_3,bignum,5,63995,586
tunefuzz,openssl_1_3,bignum,7,108563,586
tunefuzz,openssl_1_3,bignum,4,92604,586
tunefuzz,libpng_4_1,libpng_read_fuzzer,0,16315419,599
tunefuzz,libpng_4_1,libpng_read_fuzzer,3,16191453,599
tunefuzz,libpng_4_1,libpng_read_fuzzer,1,16349689,599
tunefuzz,libpng_4_1,libpng_read_fuzzer,8,15991935,599
tunefuzz,libpng_4_1,libpng_read_fuzzer,6,16245844,599
tunefuzz,libpng_4_1,libpng_read_fuzzer,9,15915008,599
tunefuzz,libpng_4_1,libpng_read_fuzzer,2,16325165,599
tunefuzz,libpng_4_1,libpng_read_fuzzer,5,16298622,599
tunefuzz,libpng_4_1,libpng_read_fuzzer,7,16227000,599
tunefuzz,libpng_4_1,libpng_read_fuzzer,4,16315162,599
tunefuzz,openssl_12_6,x509,0,5366316,586
tunefuzz,openssl_12_6,x509,3,5426149,586
tunefuzz,openssl_12_6,x509,1,5406983,586
tunefuzz,openssl_12_6,x509,8,5437611,586
tunefuzz,openssl_12_6,x509,6,5377722,586
tunefuzz,openssl_12_6,x509,9,5460346,586
tunefuzz,openssl_12_6,x509,2,5549592,586
tunefuzz,openssl_12_6,x509,5,5259246,586
tunefuzz,openssl_12_6,x509,7,5169039,586
tunefuzz,openssl_12_6,x509,4,5690534,586
tunefuzz,php_11_2,exif,0,6914180,596
tunefuzz,php_11_2,exif,3,6991997,596
tunefuzz,php_11_2,exif,1,6955318,596
tunefuzz,php_11_2,exif,8,6938924,596
tunefuzz,php_11_2,exif,6,7016072,596
tunefuzz,php_11_2,exif,9,6954874,596
tunefuzz,php_11_2,exif,2,7057016,596
tunefuzz,php_11_2,exif,5,7025403,596
tunefuzz,php_11_2,exif,7,6670168,596
tunefuzz,php_11_2,exif,4,7132293,596
tunefuzz,openssl_11_4,server,0,37407,444
tunefuzz,openssl_11_4,server,3,53752,445
tunefuzz,openssl_11_4,server,1,40309,444
tunefuzz,openssl_11_4,server,8,48569,444
tunefuzz,openssl_11_4,server,6,21935,443
tunefuzz,openssl_11_4,server,9,37153,444
tunefuzz,openssl_11_4,server,2,40787,444
tunefuzz,openssl_11_4,server,5,22934,442
tunefuzz,openssl_11_4,server,7,30995,445
tunefuzz,openssl_11_4,server,4,37905,445
tunefuzz,poppler_9_1,pdf_fuzzer,0,25794,0
tunefuzz,poppler_9_1,pdf_fuzzer,3,25822,0
tunefuzz,poppler_9_1,pdf_fuzzer,1,25938,0
tunefuzz,poppler_9_1,pdf_fuzzer,8,25874,0
tunefuzz,poppler_9_1,pdf_fuzzer,6,25886,0
tunefuzz,poppler_9_1,pdf_fuzzer,9,25790,0
tunefuzz,poppler_9_1,pdf_fuzzer,2,25694,0
tunefuzz,poppler_9_1,pdf_fuzzer,5,25662,0
tunefuzz,poppler_9_1,pdf_fuzzer,7,25874,0
tunefuzz,poppler_9_1,pdf_fuzzer,4,25770,0
tunefuzz,php_16_3,unserialize,0,9359761,597
tunefuzz,php_16_3,unserialize,3,9288998,597
tunefuzz,php_16_3,unserialize,1,9367377,597
tunefuzz,php_16_3,unserialize,8,9266769,597
tunefuzz,php_16_3,unserialize,6,9166916,597
tunefuzz,php_16_3,unserialize,9,9177077,597
tunefuzz,php_16_3,unserialize,2,9233829,597
tunefuzz,php_16_3,unserialize,5,9262468,597
tunefuzz,php_16_3,unserialize,7,9231615,597
tunefuzz,php_16_3,unserialize,4,9300064,597
tunefuzz,poppler_3_1,pdf_fuzzer,0,25802,0
tunefuzz,poppler_3_1,pdf_fuzzer,3,25818,0
tunefuzz,poppler_3_1,pdf_fuzzer,1,25810,0
tunefuzz,poppler_3_1,pdf_fuzzer,8,25727,0
tunefuzz,poppler_3_1,pdf_fuzzer,6,25807,0
tunefuzz,poppler_3_1,pdf_fuzzer,9,25687,0
tunefuzz,poppler_3_1,pdf_fuzzer,2,25850,0
tunefuzz,poppler_3_1,pdf_fuzzer,5,25658,0
tunefuzz,poppler_3_1,pdf_fuzzer,7,25827,0
tunefuzz,poppler_3_1,pdf_fuzzer,4,25742,0
tunefuzz,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,0,1284783,518
tunefuzz,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,3,903105,518
tunefuzz,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,1,559995,518
tunefuzz,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,8,901106,517
tunefuzz,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,6,567438,516
tunefuzz,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,9,1219544,516
tunefuzz,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,2,434000,518
tunefuzz,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,5,498759,518
tunefuzz,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,7,922725,516
tunefuzz,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,4,1025744,518
tunefuzz,openssl_1_5,client,0,169513,503
tunefuzz,openssl_1_5,client,3,245871,505
tunefuzz,openssl_1_5,client,1,226124,505
tunefuzz,openssl_1_5,client,8,131256,505
tunefuzz,openssl_1_5,client,6,238546,505
tunefuzz,openssl_1_5,client,9,242322,505
tunefuzz,openssl_1_5,client,2,128032,501
tunefuzz,openssl_1_5,client,5,231838,505
tunefuzz,openssl_1_5,client,7,180638,505
tunefuzz,openssl_1_5,client,4,189761,505
tunefuzz,libxml2_10_2,libxml2_xml_read_memory_fuzzer,0,2288322,541
tunefuzz,libxml2_10_2,libxml2_xml_read_memory_fuzzer,3,1712265,542
tunefuzz,libxml2_10_2,libxml2_xml_read_memory_fuzzer,1,2258843,541
tunefuzz,libxml2_10_2,libxml2_xml_read_memory_fuzzer,8,2784685,542
tunefuzz,libxml2_10_2,libxml2_xml_read_memory_fuzzer,6,2761237,541
tunefuzz,libxml2_10_2,libxml2_xml_read_memory_fuzzer,9,2872434,541
tunefuzz,libxml2_10_2,libxml2_xml_read_memory_fuzzer,2,1618326,542
tunefuzz,libxml2_10_2,libxml2_xml_read_memory_fuzzer,5,2044369,542
tunefuzz,libxml2_10_2,libxml2_xml_read_memory_fuzzer,7,2247677,541
tunefuzz,libxml2_10_2,libxml2_xml_read_memory_fuzzer,4,1491716,542
tunefuzz,openssl_11_6,x509,0,5123342,586
tunefuzz,openssl_11_6,x509,3,5274824,586
tunefuzz,openssl_11_6,x509,1,5024471,586
tunefuzz,openssl_11_6,x509,8,5139116,586
tunefuzz,openssl_11_6,x509,6,5571241,586
tunefuzz,openssl_11_6,x509,9,5433030,586
tunefuzz,openssl_11_6,x509,2,5277600,586
tunefuzz,openssl_11_6,x509,5,5592865,586
tunefuzz,openssl_11_6,x509,7,5657501,586
tunefuzz,openssl_11_6,x509,4,5655437,586
tunefuzz,openssl_6_4,server,0,30071,444
tunefuzz,openssl_6_4,server,3,45377,444
tunefuzz,openssl_6_4,server,1,39858,444
tunefuzz,openssl_6_4,server,8,28018,444
tunefuzz,openssl_6_4,server,6,43387,444
tunefuzz,openssl_6_4,server,9,36094,444
tunefuzz,openssl_6_4,server,2,22000,442
tunefuzz,openssl_6_4,server,5,44483,440
tunefuzz,openssl_6_4,server,7,37555,440
tunefuzz,openssl_6_4,server,4,41533,444
tunefuzz,poppler_17_1,pdf_fuzzer,0,25739,0
tunefuzz,poppler_17_1,pdf_fuzzer,3,25843,0
tunefuzz,poppler_17_1,pdf_fuzzer,1,25875,0
tunefuzz,poppler_17_1,pdf_fuzzer,8,25843,0
tunefuzz,poppler_17_1,pdf_fuzzer,6,25879,0
tunefuzz,poppler_17_1,pdf_fuzzer,9,25835,0
tunefuzz,poppler_17_1,pdf_fuzzer,2,25775,0
tunefuzz,poppler_17_1,pdf_fuzzer,5,25819,0
tunefuzz,poppler_17_1,pdf_fuzzer,7,25831,0
tunefuzz,poppler_17_1,pdf_fuzzer,4,25947,0
tunefuzz,libxml2_12_2,libxml2_xml_read_memory_fuzzer,0,2164186,540
tunefuzz,libxml2_12_2,libxml2_xml_read_memory_fuzzer,3,2712102,541
tunefuzz,libxml2_12_2,libxml2_xml_read_memory_fuzzer,1,2790738,542
tunefuzz,libxml2_12_2,libxml2_xml_read_memory_fuzzer,8,1595895,540
tunefuzz,libxml2_12_2,libxml2_xml_read_memory_fuzzer,6,897569,541
tunefuzz,libxml2_12_2,libxml2_xml_read_memory_fuzzer,9,2400267,541
tunefuzz,libxml2_12_2,libxml2_xml_read_memory_fuzzer,2,2818177,542
tunefuzz,libxml2_12_2,libxml2_xml_read_memory_fuzzer,5,2498387,541
tunefuzz,libxml2_12_2,libxml2_xml_read_memory_fuzzer,7,601645,541
tunefuzz,libxml2_12_2,libxml2_xml_read_memory_fuzzer,4,1012995,541
tunefuzz,libsndfile_2_1,sndfile_fuzzer,0,185328,546
tunefuzz,libsndfile_2_1,sndfile_fuzzer,3,107473,550
tunefuzz,libsndfile_2_1,sndfile_fuzzer,1,153476,547
tunefuzz,libsndfile_2_1,sndfile_fuzzer,8,175841,545
tunefuzz,libsndfile_2_1,sndfile_fuzzer,6,150545,548
tunefuzz,libsndfile_2_1,sndfile_fuzzer,9,198258,547
tunefuzz,libsndfile_2_1,sndfile_fuzzer,2,252895,546
tunefuzz,libsndfile_2_1,sndfile_fuzzer,5,202446,547
tunefuzz,libsndfile_2_1,sndfile_fuzzer,7,287940,547
tunefuzz,libsndfile_2_1,sndfile_fuzzer,4,232362,547
tunefuzz,php_4_1,json,0,9033702,597
tunefuzz,php_4_1,json,3,9048418,597
tunefuzz,php_4_1,json,1,8964397,597
tunefuzz,php_4_1,json,8,9052040,597
tunefuzz,php_4_1,json,6,8877405,597
tunefuzz,php_4_1,json,9,8560413,597
tunefuzz,php_4_1,json,2,8772980,597
tunefuzz,php_4_1,json,5,8712452,597
tunefuzz,php_4_1,json,7,8929407,597
tunefuzz,php_4_1,json,4,8909862,597
tunefuzz,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,0,492612,518
tunefuzz,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,3,1004949,518
tunefuzz,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,1,1249049,519
tunefuzz,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,8,955616,513
tunefuzz,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,6,712045,514
tunefuzz,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,9,971780,515
tunefuzz,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,2,1128389,518
tunefuzz,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,5,892889,515
tunefuzz,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,7,1357865,510
tunefuzz,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,4,1126988,516
tunefuzz,openssl_19_1,asn1,0,40916,467
tunefuzz,openssl_19_1,asn1,3,34781,467
tunefuzz,openssl_19_1,asn1,1,48151,467
tunefuzz,openssl_19_1,asn1,8,44066,463
tunefuzz,openssl_19_1,asn1,6,64649,466
tunefuzz,openssl_19_1,asn1,9,52608,467
tunefuzz,openssl_19_1,asn1,2,68114,467
tunefuzz,openssl_19_1,asn1,5,35030,467
tunefuzz,openssl_19_1,asn1,7,48175,467
tunefuzz,openssl_19_1,asn1,4,32715,464
tunefuzz,libsndfile_15_1,sndfile_fuzzer,0,366076,547
tunefuzz,libsndfile_15_1,sndfile_fuzzer,3,171480,546
tunefuzz,libsndfile_15_1,sndfile_fuzzer,1,153886,546
tunefuzz,libsndfile_15_1,sndfile_fuzzer,8,239357,547
tunefuzz,libsndfile_15_1,sndfile_fuzzer,6,225639,545
tunefuzz,libsndfile_15_1,sndfile_fuzzer,9,231654,544
tunefuzz,libsndfile_15_1,sndfile_fuzzer,2,301763,545
tunefuzz,libsndfile_15_1,sndfile_fuzzer,5,224025,547
tunefuzz,libsndfile_15_1,sndfile_fuzzer,7,221903,546
tunefuzz,libsndfile_15_1,sndfile_fuzzer,4,328869,547
tunefuzz,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,0,1050760,519
tunefuzz,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,3,911244,519
tunefuzz,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,1,873328,519
tunefuzz,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,8,180972,520
tunefuzz,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,6,978147,520
tunefuzz,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,9,770896,526
tunefuzz,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,2,714912,519
tunefuzz,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,5,841670,519
tunefuzz,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,7,361051,521
tunefuzz,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,4,1109426,519
tunefuzz,openssl_8_1,asn1,0,46767,463
tunefuzz,openssl_8_1,asn1,3,60327,461
tunefuzz,openssl_8_1,asn1,1,35228,466
tunefuzz,openssl_8_1,asn1,8,35997,466
tunefuzz,openssl_8_1,asn1,6,72146,466
tunefuzz,openssl_8_1,asn1,9,59924,466
tunefuzz,openssl_8_1,asn1,2,50479,466
tunefuzz,openssl_8_1,asn1,5,60044,466
tunefuzz,openssl_8_1,asn1,7,37376,466
tunefuzz,openssl_8_1,asn1,4,35626,466
tunefuzz,libxml2_1_2,libxml2_xml_read_memory_fuzzer,0,1723543,542
