#fuzzer,benchmark,driver,run,execs_done,fuzz_time
windranger,libtiff_9_1,tiff_read_rgba_fuzzer,0,2811454,529
windranger,libtiff_9_1,tiff_read_rgba_fuzzer,3,2744847,529
windranger,libtiff_9_1,tiff_read_rgba_fuzzer,1,3341614,529
windranger,libtiff_9_1,tiff_read_rgba_fuzzer,8,3061904,529
windranger,libtiff_9_1,tiff_read_rgba_fuzzer,6,3369201,529
windranger,libtiff_9_1,tiff_read_rgba_fuzzer,9,3379043,530
windranger,libtiff_9_1,tiff_read_rgba_fuzzer,2,3345362,528
windranger,libtiff_9_1,tiff_read_rgba_fuzzer,5,3353018,530
windranger,libtiff_9_1,tiff_read_rgba_fuzzer,7,2910101,528
windranger,libtiff_9_1,tiff_read_rgba_fuzzer,4,1552930,528
windranger,libsndfile_7_1,sndfile_fuzzer,0,445033,562
windranger,libsndfile_7_1,sndfile_fuzzer,3,454132,563
windranger,libsndfile_7_1,sndfile_fuzzer,1,455556,563
windranger,libsndfile_7_1,sndfile_fuzzer,8,451302,563
windranger,libsndfile_7_1,sndfile_fuzzer,6,455507,563
windranger,libsndfile_7_1,sndfile_fuzzer,9,451414,563
windranger,libsndfile_7_1,sndfile_fuzzer,2,461167,563
windranger,libsndfile_7_1,sndfile_fuzzer,5,453631,562
windranger,libsndfile_7_1,sndfile_fuzzer,7,450912,563
windranger,libsndfile_7_1,sndfile_fuzzer,4,449511,563
windranger,openssl_1_3,bignum,0,745449,586
windranger,openssl_1_3,bignum,3,277750,586
windranger,openssl_1_3,bignum,1,649214,586
windranger,openssl_1_3,bignum,8,460662,587
windranger,openssl_1_3,bignum,6,749019,587
windranger,openssl_1_3,bignum,9,517772,587
windranger,openssl_1_3,bignum,2,436171,586
windranger,openssl_1_3,bignum,5,513637,586
windranger,openssl_1_3,bignum,7,570467,588
windranger,openssl_1_3,bignum,4,498558,586
windranger,libpng_4_1,libpng_read_fuzzer,0,6391886,599
windranger,libpng_4_1,libpng_read_fuzzer,3,6493813,599
windranger,libpng_4_1,libpng_read_fuzzer,1,5226209,599
windranger,libpng_4_1,libpng_read_fuzzer,8,6389102,599
windranger,libpng_4_1,libpng_read_fuzzer,6,6365529,599
windranger,libpng_4_1,libpng_read_fuzzer,9,6432825,599
windranger,libpng_4_1,libpng_read_fuzzer,2,6471675,599
windranger,libpng_4_1,libpng_read_fuzzer,5,6368401,599
windranger,libpng_4_1,libpng_read_fuzzer,7,6380853,599
windranger,libpng_4_1,libpng_read_fuzzer,4,6462828,599
windranger,openssl_12_6,x509,0,618100,584
windranger,openssl_12_6,x509,3,511402,584
windranger,openssl_12_6,x509,1,346421,584
windranger,openssl_12_6,x509,8,517616,585
windranger,openssl_12_6,x509,6,539727,584
windranger,openssl_12_6,x509,9,567020,584
windranger,openssl_12_6,x509,2,522219,584
windranger,openssl_12_6,x509,5,482596,584
windranger,openssl_12_6,x509,7,506008,585
windranger,openssl_12_6,x509,4,265923,584
windranger,openssl_11_4,server,0,41093,418
windranger,openssl_11_4,server,3,40852,417
windranger,openssl_11_4,server,1,41134,418
windranger,openssl_11_4,server,8,41058,410
windranger,openssl_11_4,server,6,41282,412
windranger,openssl_11_4,server,9,40621,417
windranger,openssl_11_4,server,2,13804,408
windranger,openssl_11_4,server,5,41801,418
windranger,openssl_11_4,server,7,40942,417
windranger,openssl_11_4,server,4,40357,416
windranger,poppler_9_1,pdf_fuzzer,0,18563,0
windranger,poppler_9_1,pdf_fuzzer,3,18563,0
windranger,poppler_9_1,pdf_fuzzer,1,18563,0
windranger,poppler_9_1,pdf_fuzzer,8,18563,0
windranger,poppler_9_1,pdf_fuzzer,6,18576,0
windranger,poppler_9_1,pdf_fuzzer,9,18563,0
windranger,poppler_9_1,pdf_fuzzer,2,18576,0
windranger,poppler_9_1,pdf_fuzzer,5,18570,0
windranger,poppler_9_1,pdf_fuzzer,7,18576,0
windranger,poppler_9_1,pdf_fuzzer,4,18576,0
windranger,poppler_3_1,pdf_fuzzer,0,18524,0
windranger,poppler_3_1,pdf_fuzzer,3,18539,0
windranger,poppler_3_1,pdf_fuzzer,1,18526,0
windranger,poppler_3_1,pdf_fuzzer,8,18539,0
windranger,poppler_3_1,pdf_fuzzer,6,18539,0
windranger,poppler_3_1,pdf_fuzzer,9,18539,0
windranger,poppler_3_1,pdf_fuzzer,2,18539,0
windranger,poppler_3_1,pdf_fuzzer,5,18539,0
windranger,poppler_3_1,pdf_fuzzer,7,18539,0
