Commit_Hash,Added,Deleted,Total
d3cf9b6e22fca25273e87d0b11882a7f886c97fe,1,1,2
d288a1dd3658b64b4109e0def691f411ae6ac717,120,36,156
0a27b48e948904d42528b40a06772852480bbc61,22,22,44
65cd5fa3e5c466c3f3ce797883f040a3702f9f19,4,4,8
f3a45ac2e9c87f5e28737130cecbb79db1310bd0,16,8,24
d161ce61160c8d5ce8d18e9d61a7ab5f3e2f9c29,25,0,25
b3bcbf9f8223ad0d194d0edbcfe579501194fe04,111,112,223
b8a0a5401f5bf27180ae94e1479be8a13305cfea,27,27,54
529e69e76a82af577cd2871db7da1ab3c7a0aaf7,23,27,50
cd5e582fd6217fad4a2f5b1535089f328318335a,380,0,380
66.2727,21.5455,87.8182
