Commit_Hash,Added,Deleted,Total
58c05b87162264200b1aa7790be260fd74c9deee,4,1,5
3ab2093f32325fa5eeeb099d53064639c0e9a861,28,19,47
fbbff023574a755d0fbd031ee38923747014eeba,1,0,1
8d6a064396bd78f4fa16ef8e29742af16e1fe4d3,1,1,2
402f163df26f9fe5ac819466e326f51ee54d83ca,1,9,10
8075d7ecbfe00f88995a8b43e63ee0ab9ed0bb8c,0,1,1
bc06ad06f2dc4c27e5f325c00d6a5ef1c844344a,0,4,4
c81375f070f3c6764969a738eacded64f53a076e,1,1,2
e5ee50fbda1b9049a45fc65d06c34825feb4f237,2,2,4
e486f20fd4b1c7490cde84f22635e1c267ae882b,1,1,2
3.54545,3.54545,7.09091
