Commit_Hash,Added,Deleted,Total
7753fff93ef772ebb48de4b8b40a164d7328cc28,7,8,15
6216805c108e90b57dcaa12cfdecbc756589931f,9,1,10
5650dd434b01d7934db054d23914e70f654df5e4,1,1,2
db5972e098c82a7f286ec479e0c1e0da2c6d756a,1,1,2
9c97172706d667e03eb171277269ff4fcf2e113d,94,0,94
a60b9d75e9b5bde2ea2205601585730dab06b244,1,2,3
94f6f7315b184de1a00ed27dec8b009389310f65,5,4,9
b535e2bf6f4d19529c253bec6c0cdf407ac0a5c6,16,5,21
e81febb70febdc57e5eaa4f327b21e8d4a684525,2,2,4
eba593294df79fc062525790c8c340bc2496e33b,11,4,15
13.3636,2.54545,15.9091
