Commit_Hash,Added,Deleted,Total
d67833a3c5db7999820a73e356327d47ec76bea9,12,6,18
81d38ed06922b2fc77d795769aee43af6d2aded3,1,1,2
b1c5aa6544ffc9cc31c436db48114902c2aabf17,3,0,3
55ddccb645e89e636645bc3c120b0e30130addc7,66,78,144
c46b89e2432522d92d9dd59d79c00e09af14ff9b,5,1,6
03f1bdd260c69d08ccc97c2a31e40ceb9a893880,22,5,27
dae160c64b6fb270997943d917ecda8045caeeaa,1,1,2
5e7874015ef5ed8b2705eb2f7b0960f56f7760ea,3,3,6
6e503eb7423243da61768beceb68cfd8af433873,2,0,2
55d36c599093d19bf366e77a1b55ee98edee4b9c,1,1,2
10.5455,8.72727,19.2727
