Commit_Hash,Added,Deleted,Total
fd0e1f530d06340f99334b07d74e5133ce073787,44,10,54
75620b45ae9d500a3251a0e698de98ab588d2a29,10,12,22
3e88b72b8e71c0946d089a04876e7bdc61d187a9,13,0,13
8b752ddf14c1987411906d07a8c68f72f168b9b7,10,1,11
1bf4b80f1ace8384eb9dd6f7f8b67256b3944a7a,153,21,174
4c6afbcb01d1cae72d829af5301df5f592fa2079,16,24,40
f2206b2abe848f65956fa48da338c2bfac599e4a,50,39,89
0acd55898d0aaae8dbc14c8a1bc1e3bdffc8701b,398,359,757
15231d4fb2f6984b25e0353ff46eda1a180b686d,79,62,141
f407b3c4a1bc9667867ec51e835c20d97aab55a2,31,30,61
73.0909,50.7273,123.818
