Commit_Hash,Added,Deleted,Total
12d14de641c299ec080edc521f7080acc44e366f,11,8,19
2f362e99a1178263c7102474f0190836166f416d,99,1,100
fc68cf21b572bc7fc76a39e4ec150d5d612f02e8,109,7,116
3be63875881f823f3eba38e7674d64bc28f771c8,28,0,28
9331a202fe85cba18aae54b52bcfcf71c2a4469f,5,0,5
1b52b24aa4deb76831a56afb0aa7a101877cd457,5,0,5
634d84324a463317cea52510c62d8bafc2ff1eb0,4,0,4
c788f1c6be92d63ae4ec71776bc17e3e7b0b912f,5,0,5
0081964805421e81cfa804474b1005985d5c6278,1,1,2
d927eb295058f399bd99eb3d4dadd8532acfedd1,2,2,4
24.4545,1.72727,26.1818
