Commit_Hash,Added,Deleted,Total
62a1eb9d6823cd4bd83278a454d81003db762cdb,2,4,6
4a1694090ba277f40f5139ce6c0b36fbb6065e9b,3,0,3
f8b925b61721e171ff558a6635da9f4167a0f884,4,0,4
21260318c6fef56c0227768b94b14f3727bce333,35,11,46
c910e78c392e2c56c6a7f0ebcc22023f4d40d620,60,0,60
98a4c53ad567a1f7464a0d5b736b6f370f874004,9,15,24
bf1021c1a8fd1b04b523792763b51c549109bb20,1,1,2
1d0fb3668137c436f0209969620f5c1bfd347c4b,3,0,3
d83a7a9fb162d62da23835d926554c91e30069e6,1,1,2
a551b99b2ca85dddac2e4428a4df13769c46d6f8,55,0,55
15.7273,2.90909,18.6364
