Commit_Hash,Added,Deleted,Total
a37d4836519517bdce6cb9d956092321eca3e73b,11,11,22
3796518809b03e347393e630fe91ab7a3dd0dcc9,0,1,1
8ca01083d6ed594296578c6b5911fcb3738b67e3,2,2,4
cd03aaf7bf0e0c748b8c6cb34a56b402b40d61d0,0,5,5
c4bd411c35290f9568da44a7faf7a09505db78db,1,1,2
2224c8ea7b901ba038fdeff13605a60563bd00d2,3,2,5
e2bb5e7512a48dcfe191065decac9cf78a68fd12,364,277,641
d6e13b2acd3afdb5f3aca458a6de5626079f2d2b,74,0,74
c2e2cd2ec5424b47104b6b15ce897af84256f5bf,14,5,19
c3f209178b43e327472e76562ec0ce1c3a3101bb,51,16,67
47.2727,29.0909,76.3636
