Commit_Hash,Added,Deleted,Total
86c9f9eb7022d186ad4d0689487e7d4f04ce2b29,20,18,38
ccfd37ab922ee437122c3a16bf16be9c85498680,500,542,1042
e31880158835b48516ed31472c5b55f94eae93d6,1,1,2
16b089a8a2386edd0db332d3e16e2bac046fdaa1,45,14,59
682eee35f362793affe13a09d8989f4cd2aff32e,1,1,2
d948e9b13a3dd0f1569914abbaf3f473173d938e,1,1,2
e46c4b9eb270afb1c626b239a7c71cec563a5101,1,1,2
01628f48b9aacea1d1939935325cd8ff87c0eeaf,29,0,29
dfdad63ff2c792299d3553f04153afe7f695033a,4,4,8
62b7fb3b35ef8a0519af6af90d38981366d4665c,14,0,14
56,52.9091,108.909
