Commit_Hash,Added,Deleted,Total
4c5d8688b694ab391e0910c28c88f2639a99afc5,13,105,118
e494de484685933c04cf19394ea769e9b213c249,11,0,11
1a432d0769d9603c555a0b8205c1713115f35233,145,10,155
6438425ae911ec97a08b47b87cfac9e5a9b9b047,17,0,17
8de0adcc0f949e918693f2460b50b71395295df5,11,1,12
843e229e6641faac45fc2f03f926a40e013fae90,12,16,28
1765e0a21d01e02e362df965f74d011ae40c44a7,8,0,8
4ecf751f887fc28ebd50718260b9d4e515a2f43e,10,1,11
0bb2247ec49cb48cd93db11d6b5e8efa638f4888,3,2,5
de7617aeaecd4ab624404077ecc7473b87dee7e5,30,39,69
23.6364,15.8182,39.4545
