Commit_Hash,Added,Deleted,Total
ec6e3efb06d7b15cf5a2328fabd3845acea4c815,8,1,9
22f1521122402bee88b58a463af58b5ab865dc3f,11,6,17
92d9ab4c28842a09ca2b76d3ff2f933e01b6cd6f,9,5,14
3e1aad4fe584747fd7d17cc7b2863a78e2d21a77,1,1,2
13ad8736d294536da4cbcd70a96b0a2fbf47070c,7,7,14
a46e85f6698af712dc8bee683431c70d35e456ff,1,1,2
a1cac3bbe48c9f3f74da61128a8f5b27bae247e4,2,0,2
2c0f2f0341372e6fa216298aa062e2ad224ffd39,12,16,28
b92b16f659bcafa3e9ddb635ba82d719deb8562a,0,3,3
7d4060d252354a8d650a3c50256fe3679a40691d,1,1,2
4.72727,3.72727,8.45455
