Commit_Hash,Added,Deleted,Total
dbdc74dc5502c2e05e1c1e2ac894943f418c8431,24,14,38
6a0dace25a4b5b77f0fa6911de2ba26ef0fdff2c,3,0,3
04e19712a5d48b84869f9942836ff8314fb0be8e,29,29,58
901d76009346d76996679c02deee708bf225e91e,33,39,72
c0ed74c1e130aa6d80e5ffc7b6e32b433aca1765,2,3,5
fc6c74f1004b5f67d0503633ddb74174a3c8d6ad,13,5,18
1e6918d553e0d76148f7de0af63fdce326e049b8,7,14,21
681297187ec45268e872b26753c441586c12bdd8,71,2,73
5148954eed7550dcac587fce0214b470442efa0d,37,11,48
d205f3a4847bc8b835fda91f51ba1cf45b796baf,4,2,6
20.2727,10.8182,31.0909
