Commit_Hash,Added,Deleted,Total
3bd5319b5d0df9ecf05c8baba2c401ad8e3ba130,4,4,8
d101700dffa710f3de0ab6465dff688f55214bcc,0,28,28
105c83150f15af3f78ea0758859062842bdbe30e,79,5,84
0f71b1eb6c390e58059a4c4225bcbecac9aef2c7,8,0,8
4e20312ba693c5f4241edf62717f9c0ee5661ae2,6,8,14
561e5cda7b7139c665dd9d2f39058b4081da54d2,0,6,6
ef1e0242a9aec5210845df86162c0b9219ff0f11,34,1,35
4e20d04ee0e7be2061c1e5d2c2c8d714b7923c89,14,0,14
9d300aa21b02f13d3429931417f4320350b9f891,178,10,188
866376432bc403adbdb447830d0a33ffcd5fb0fa,90,13,103
37.5455,6.81818,44.3636
