Commit_Hash,Added,Deleted,Total
bc39abe8c3c492e29bc5d60ca58442040bbf063b,90,5,95
62ecf54f35e227d09d19ec40920f7bb8d29e9356,22,6,28
cee33bab16b1fd2c7a9101c46d4bae30f1233ce9,208,38,246
a5360e80c27fcf2e1a3e4c4602940fd1d7a8ce89,340,94,434
c6d4f6082742afae1e88fee949b0700d63742e0a,5,1,6
f43a19ee94cfbf63eab3a282d76e9d3d9b996f67,8,13,21
5502910ed83aada2dc25f29866a1e94b1ad85a89,2,2,4
8a67dfd16b2032b8e575e8a99cf9a74a1014ec9d,40,16,56
188b1d4c7c7b3482584e248522d94e06ba616a1c,11,2,13
52a00fe776eebd0e5a3370f0e4be45f40ef999a7,2,2,4
66.1818,16.2727,82.4545
