Commit_Hash,Added,Deleted,Total
1d23101ccebe14261c6afc024ea14f29d209e760,9,0,9
fa494b780ab69ef04ba7447ab6d8fc3b46373e59,1402,44,1446
e674ca6453f3f20c4bf0cb463222a97c99221dd6,71,80,151
f2a6c6fe06ba2279f8509c56a11d649f02d1500c,13,7,20
fcdff7bb19e2ac0fab6505f17e0c18c8faa86323,5,1,6
27ea06e3443ff0cc2250b26e5f3f170a6f531568,5,1,6
77e545351b7ac359e19422e8158ff00f6dd597d3,15,5,20
a822ba0e4f7240309eaa180230facbceb6d0e08a,1,0,1
2b2808719d2c91283ae358381391bb0b37d9061d,2,1,3
571d8138cb9ccc9ac04219a6a552d8c78e93ad88,4,0,4
138.818,12.6364,151.455
