Patch_URL,Commit_Count,Files_Changed,Insertions,Deletions,Total_Changes
https://patch-diff.githubusercontent.com/raw/pnggroup/libpng/pull/607.patch,1,1,0,1,1
https://patch-diff.githubusercontent.com/raw/pnggroup/libpng/pull/604.patch,1,1,14,14,28
https://patch-diff.githubusercontent.com/raw/pnggroup/libpng/pull/597.patch,1,1,120,36,156
https://patch-diff.githubusercontent.com/raw/pnggroup/libpng/pull/596.patch,1,2,27,27,54
https://patch-diff.githubusercontent.com/raw/pnggroup/libpng/pull/595.patch,1,1,0,4,4
https://patch-diff.githubusercontent.com/raw/pnggroup/libpng/pull/594.patch,1,1,5,0,5
https://patch-diff.githubusercontent.com/raw/pnggroup/libpng/pull/592.patch,8,64,1462,11277,12739
https://patch-diff.githubusercontent.com/raw/pnggroup/libpng/pull/590.patch,0,0,0,0,0
https://patch-diff.githubusercontent.com/raw/pnggroup/libpng/pull/589.patch,0,0,0,0,0
https://patch-diff.githubusercontent.com/raw/pnggroup/libpng/pull/588.patch,1,1,46,25,71
1.36364,6.54545,152.182,1034.91,1187.09
