Patch_URL,Commit_Count,Files_Changed,Insertions,Deletions,Total_Changes
https://patch-diff.githubusercontent.com/raw/openssl/openssl/pull/25572.patch,1,1,20,10,30
https://patch-diff.githubusercontent.com/raw/openssl/openssl/pull/25565.patch,2477,3419,102129,26865,128994
https://patch-diff.githubusercontent.com/raw/openssl/openssl/pull/25560.patch,1,1,0,2,2
https://patch-diff.githubusercontent.com/raw/openssl/openssl/pull/25548.patch,1,3,99,1,100
https://patch-diff.githubusercontent.com/raw/openssl/openssl/pull/25546.patch,4,2,42,0,42
https://patch-diff.githubusercontent.com/raw/openssl/openssl/pull/25536.patch,3,3,8,3,11
https://patch-diff.githubusercontent.com/raw/openssl/openssl/pull/25535.patch,1,1,7,7,14
https://patch-diff.githubusercontent.com/raw/openssl/openssl/pull/25533.patch,10,20,113,57,170
https://patch-diff.githubusercontent.com/raw/openssl/openssl/pull/25529.patch,3,12,114,12,126
https://patch-diff.githubusercontent.com/raw/openssl/openssl/pull/25526.patch,10,23,653,277,930
228.273,316.818,9380.45,2475.82,11856.3
