Patch_URL,Commit_Count,Files_Changed,Insertions,Deletions,Total_Changes
https://patch-diff.githubusercontent.com/raw/php/php-src/pull/16143.patch,1,1,9,15,24
https://patch-diff.githubusercontent.com/raw/php/php-src/pull/16141.patch,1,1,0,1,1
https://patch-diff.githubusercontent.com/raw/php/php-src/pull/16139.patch,1,1,3,0,3
https://patch-diff.githubusercontent.com/raw/php/php-src/pull/16134.patch,2,5,95,11,106
https://patch-diff.githubusercontent.com/raw/php/php-src/pull/16130.patch,1,2,6,1,7
https://patch-diff.githubusercontent.com/raw/php/php-src/pull/16129.patch,3,5,56,20,76
https://patch-diff.githubusercontent.com/raw/php/php-src/pull/16123.patch,1,4,215,18,233
https://patch-diff.githubusercontent.com/raw/php/php-src/pull/16121.patch,1,2,28,18,46
https://patch-diff.githubusercontent.com/raw/php/php-src/pull/16120.patch,1,3,79,30,109
https://patch-diff.githubusercontent.com/raw/php/php-src/pull/16116.patch,1,49,0,49,49
1.18182,6.63636,44.6364,14.8182,59.4545
