Patch_URL,Commit_Count,Files_Changed,Insertions,Deletions,Total_Changes
https://gitlab.freedesktop.org/poppler/poppler/-/merge_requests/1560.patch,1,7,809,420,1229
https://gitlab.freedesktop.org/poppler/poppler/-/merge_requests/1575.patch,3,17,469,575,1044
https://gitlab.freedesktop.org/poppler/poppler/-/merge_requests/1602.patch,1,1,2,2,4
https://gitlab.freedesktop.org/poppler/poppler/-/merge_requests/1599.patch,2,5,58,41,99
https://gitlab.freedesktop.org/poppler/poppler/-/merge_requests/1586.patch,1,1,0,1,1
https://gitlab.freedesktop.org/poppler/poppler/-/merge_requests/1556.patch,1,2,142,95,237
https://gitlab.freedesktop.org/poppler/poppler/-/merge_requests/1600.patch,1,7,32,32,64
https://gitlab.freedesktop.org/poppler/poppler/-/merge_requests/1596.patch,1,3,23,2,25
https://gitlab.freedesktop.org/poppler/poppler/-/merge_requests/1597.patch,1,1,10,6,16
https://gitlab.freedesktop.org/poppler/poppler/-/merge_requests/1592.patch,1,4,20,56,76
1.18182,4.36364,142.273,111.818,254.091
