target,program,bug,fuzzer,survival_time_reached,survival_ci_reached,survival_time_triggered,survival_ci_triggered
poppler_9_1,pdf_fuzzer,PDF009,aflgo,187.5,0.0,,
php_11_2,exif,PHP011,aflgo,146.8,0.0002610465766158168,151.8,0.00041577868964962517
libpng_4_1,libpng_read_fuzzer,PNG004,aflgo,33.8,7.411390475334528e-05,,
libsndfile_7_1,sndfile_fuzzer,SND007,aflgo,108.8,6.905934958600212e-05,133.8,0.00039317269546735244
sqlite3_18_1,sqlite3_fuzz,SQL018,aflgo,88.6,0.00035834355776234587,93.6,0.00011590557615637927
sqlite3_20_1,sqlite3_fuzz,SQL020,aflgo,596.16,8.690738065240167,596.16,8.690738065240167
openssl_1_5,client,SSL001,aflgo,269.8,0.0006397586738439617,,
openssl_10_5,client,SSL010,aflgo,266.4,0.00024019059503364303,,
openssl_16_6,x509,SSL016,aflgo,214.0,0.0008404675650920695,,
openssl_20_4,server,SSL020,aflgo,264.2,0.0009497163289161713,,
libtiff_7_1,tiff_read_rgba_fuzzer,TIF007,aflgo,60.6,0.0005337675451254088,65.6,0.0006903227706193733
libtiff_10_1,tiff_read_rgba_fuzzer,TIF010,aflgo,66.7,0.000193202586061305,,
libxml2_1_2,libxml2_xml_read_memory_fuzzer,XML001,aflgo,75.1,5.369469992466381,80.1,0.0004301987011285873
libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,XML008,aflgo,84.9,2.7718600580592043,,
libxml2_12_2,libxml2_xml_read_memory_fuzzer,XML012,aflgo,78.4,0.0002079691608934603,,

