target,program,bug,fuzzer,survival_time_reached,survival_ci_reached,survival_time_triggered,survival_ci_triggered
poppler_9_1,pdf_fuzzer,PDF009,aflgoexp,186.9,0.0005102886297649085,,
php_11_2,exif,PHP011,aflgoexp,129.1,0.0002511556064189245,134.1,0.0006064169567269849
libpng_4_1,libpng_read_fuzzer,PNG004,aflgoexp,28.4,8.72288544954998e-05,,
libsndfile_7_1,sndfile_fuzzer,SND007,aflgoexp,108.6,0.00031775878452706247,133.6,0.0003594217683004717
sqlite3_18_1,sqlite3_fuzz,SQL018,aflgoexp,84.7,8.126191641578091e-05,89.7,0.00016094683802640283
openssl_1_5,client,SSL001,aflgoexp,259.2,0.0011522896751954546,,
openssl_10_5,client,SSL010,aflgoexp,256.9,0.0006942769564084699,,
openssl_16_6,x509,SSL016,aflgoexp,239.7,0.00026307311773748773,,
openssl_20_4,server,SSL020,aflgoexp,259.1,0.0013300732564907067,,
libtiff_7_1,tiff_read_rgba_fuzzer,TIF007,aflgoexp,60.5,0.0002714898784844192,65.5,0.0004005132600393153
libtiff_10_1,tiff_read_rgba_fuzzer,TIF010,aflgoexp,61.2,0.00017561296327393117,,
libxml2_1_2,libxml2_xml_read_memory_fuzzer,XML001,aflgoexp,72.6,0.00012576546628283893,77.6,0.00030052903150553235
libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,XML008,aflgoexp,64.8,0.00028807241879886365,,
libxml2_12_2,libxml2_xml_read_memory_fuzzer,XML012,aflgoexp,78.6,0.00016349371710207825,,

