target,program,bug,fuzzer,survival_time_reached,survival_ci_reached,survival_time_triggered,survival_ci_triggered
poppler_9_1,pdf_fuzzer,PDF009,aflplusplus,80.7,7.632891330457119e-05,,
php_11_2,exif,PHP011,aflplusplus,162.1,0.0005281875733580147,167.1,0.0006541831959533081
libpng_4_1,libpng_read_fuzzer,PNG004,aflplusplus,37.3,0.00029858412244525317,,
libsndfile_7_1,sndfile_fuzzer,SND007,aflplusplus,135.7,0.00043402524449019756,145.7,0.00017932649621745647
sqlite3_18_1,sqlite3_fuzz,SQL018,aflplusplus,49.1,5.7201846592473476e-05,49.1,5.7201846592473476e-05
openssl_1_5,client,SSL001,aflplusplus,93.1,2.5928339265473905,,
openssl_10_5,client,SSL010,aflplusplus,46.6,7.883400936722078e-05,,
openssl_16_6,x509,SSL016,aflplusplus,44.7,0.0003241576449589518,,
openssl_20_4,server,SSL020,aflplusplus,46.5,2.8593287219930245e-05,,
libtiff_7_1,tiff_read_rgba_fuzzer,TIF007,aflplusplus,58.2,0.00016448709095632626,58.2,0.00016448709095632626
libtiff_10_1,tiff_read_rgba_fuzzer,TIF010,aflplusplus,59.0,5.7201846592473476e-05,,
libxml2_1_2,libxml2_xml_read_memory_fuzzer,XML001,aflplusplus,63.2,0.000329886292104822,99.2,2.263210565445827
libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,XML008,aflplusplus,63.8,2.592835560783117,,
libxml2_12_2,libxml2_xml_read_memory_fuzzer,XML012,aflplusplus,58.1,3.5649846077547904e-05,,

