target,program,bug,fuzzer,survival_time_reached,survival_ci_reached,survival_time_triggered,survival_ci_triggered
poppler_9_1,pdf_fuzzer,PDF009,tunefuzz,271.3,1.697398411840778,,
php_11_2,exif,PHP011,tunefuzz,385.1,0.0008473567587388333,390.1,0.0003910162575589912
libpng_4_1,libpng_read_fuzzer,PNG004,tunefuzz,32.1,6.625126810637792e-05,,
libsndfile_7_1,sndfile_fuzzer,SND007,tunefuzz,115.1,0.000366072539165424,155.6,1.6973993097189006
sqlite3_18_1,sqlite3_fuzz,SQL018,tunefuzz,100.1,0.0002741616130845386,105.1,0.0001848242555850747
sqlite3_20_1,sqlite3_fuzz,SQL020,tunefuzz,307.8,7.114245110146186,307.8,7.114245110146186
openssl_1_5,client,SSL001,tunefuzz,330.1,1.6974002942164221,,
openssl_10_5,client,SSL010,tunefuzz,310.8,0.00047367207620038553,,
openssl_16_6,x509,SSL016,tunefuzz,319.8,0.0008029129567557143,,
openssl_20_4,server,SSL020,tunefuzz,311.3,0.002601466740780401,,
libtiff_7_1,tiff_read_rgba_fuzzer,TIF007,tunefuzz,58.2,0.00016448709095632626,63.2,0.000329886292104822
libtiff_10_1,tiff_read_rgba_fuzzer,TIF010,tunefuzz,61.4,0.00029831486401698235,,
libxml2_1_2,libxml2_xml_read_memory_fuzzer,XML001,tunefuzz,80.3,6.547544208669377e-05,90.3,0.0004622751493928001
libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,XML008,tunefuzz,88.0,0.00032220287371317695,,
libxml2_12_2,libxml2_xml_read_memory_fuzzer,XML012,tunefuzz,95.0,0.00010224379306452786,,

