target,program,bug,fuzzer,survival_time_reached,survival_ci_reached,survival_time_triggered,survival_ci_triggered
poppler_9_1,pdf_fuzzer,PDF009,tunefuzz,29.5,1.6974097914176285,,
php_11_2,exif,PHP011,tunefuzz,10.0,3.694334157663597e-07,15.0,2.3365020751953125e-07
libpng_4_1,libpng_read_fuzzer,PNG004,tunefuzz,10.0,3.694334157663597e-07,,
libsndfile_7_1,sndfile_fuzzer,SND007,tunefuzz,10.0,3.694334157663597e-07,50.5,1.6974097927190823
sqlite3_18_1,sqlite3_fuzz,SQL018,tunefuzz,10.0,3.694334157663597e-07,15.0,2.3365020751953125e-07
sqlite3_20_1,sqlite3_fuzz,SQL020,tunefuzz,223.0,7.121033619300148,223.0,7.121033619300148
openssl_1_5,client,SSL001,tunefuzz,25.5,1.6974097914175856,,
openssl_10_5,client,SSL010,tunefuzz,10.0,3.694334157663597e-07,,
openssl_16_6,x509,SSL016,tunefuzz,10.0,3.694334157663597e-07,,
openssl_20_4,server,SSL020,tunefuzz,10.0,3.694334157663597e-07,598.5,5.092229374230544
libtiff_7_1,tiff_read_rgba_fuzzer,TIF007,tunefuzz,10.0,3.694334157663597e-07,15.0,2.3365020751953125e-07
libtiff_10_1,tiff_read_rgba_fuzzer,TIF010,tunefuzz,10.0,3.694334157663597e-07,,
libxml2_1_2,libxml2_xml_read_memory_fuzzer,XML001,tunefuzz,10.0,3.694334157663597e-07,20.0,3.3043129232540915e-07
libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,XML008,tunefuzz,15.0,2.3365020751953125e-07,,
libxml2_12_2,libxml2_xml_read_memory_fuzzer,XML012,tunefuzz,10.0,3.694334157663597e-07,593.5,22.066327283301604

