target,program,bug,fuzzer,survival_time_reached,survival_ci_reached,survival_time_triggered,survival_ci_triggered
poppler_9_1,pdf_fuzzer,PDF009,aflgo,154.3,0.0001845120761973267,,
php_11_2,exif,PHP011,aflgo,126.9,0.0004155012880688837,131.9,0.0013421180317677698
libpng_4_1,libpng_read_fuzzer,PNG004,aflgo,25.9,3.0770942841513134e-05,,
libsndfile_7_1,sndfile_fuzzer,SND007,aflgo,92.8,0.00016469141128810157,117.8,0.0003773056591329525
sqlite3_18_1,sqlite3_fuzz,SQL018,aflgo,71.2,0.0011222676493813464,76.2,9.111279643871201e-05
sqlite3_20_1,sqlite3_fuzz,SQL020,aflgo,591.98,15.757339363203075,591.98,15.757339363203075
openssl_1_5,client,SSL001,aflgo,218.2,0.0004906574248613618,,
openssl_10_5,client,SSL010,aflgo,212.4,0.0002622217461916378,,
openssl_16_6,x509,SSL016,aflgo,177.7,0.0003894224954854888,,
openssl_20_4,server,SSL020,aflgo,200.1,8.76648207663496,,
libtiff_7_1,tiff_read_rgba_fuzzer,TIF007,aflgo,46.7,0.00016150756875142036,51.7,0.0001490241465064996
libtiff_10_1,tiff_read_rgba_fuzzer,TIF010,aflgo,35.8,9.937360602191329e-05,,
libxml2_1_2,libxml2_xml_read_memory_fuzzer,XML001,aflgo,60.6,0.0005337675451254088,67.6,2.771859643762934
libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,XML008,aflgo,67.8,0.00021475492071560927,,
libxml2_12_2,libxml2_xml_read_memory_fuzzer,XML012,aflgo,59.0,5.7201846592473476e-05,,

