target,program,bug,fuzzer,survival_time_reached,survival_ci_reached,survival_time_triggered,survival_ci_triggered
poppler_9_1,pdf_fuzzer,PDF009,aflgoexp,155.5,0.0001313504910960819,,
php_11_2,exif,PHP011,aflgoexp,119.5,0.0014138407087478122,124.5,1.763401319392294e-05
libpng_4_1,libpng_read_fuzzer,PNG004,aflgoexp,29.4,0.0001303148293208158,,
libsndfile_7_1,sndfile_fuzzer,SND007,aflgoexp,127.9,0.000317313154535962,152.9,0.0005425001595998248
sqlite3_18_1,sqlite3_fuzz,SQL018,aflgoexp,73.0,8.788230065157836e-05,78.0,0.0002041755249509522
openssl_1_5,client,SSL001,aflgoexp,213.8,0.00020465837675945393,,
openssl_10_5,client,SSL010,aflgoexp,188.4,0.0004301276309921426,,
openssl_16_6,x509,SSL016,aflgoexp,188.9,0.0003133129929040805,,
openssl_20_4,server,SSL020,aflgoexp,207.5,0.00023042033331467095,,
libtiff_7_1,tiff_read_rgba_fuzzer,TIF007,aflgoexp,44.8,7.916295229619867e-05,49.8,4.0361340377913276e-05
libtiff_10_1,tiff_read_rgba_fuzzer,TIF010,aflgoexp,43.8,6.983601066872391e-05,,
libxml2_1_2,libxml2_xml_read_memory_fuzzer,XML001,aflgoexp,58.2,0.00016448709095632626,68.2,0.0005939533500486625
libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,XML008,aflgoexp,73.7,0.00020729606531486193,,
libxml2_12_2,libxml2_xml_read_memory_fuzzer,XML012,aflgoexp,59.1,0.0001903880762370893,,

