target,program,bug,fuzzer,survival_time_reached,survival_ci_reached,survival_time_triggered,survival_ci_triggered
poppler_9_1,pdf_fuzzer,PDF009,windranger,104.1,2.2632047890000275,,
libpng_4_1,libpng_read_fuzzer,PNG004,windranger,17.0,3.263918616654029e-05,,
libsndfile_7_1,sndfile_fuzzer,SND007,windranger,47.0,0.0003392433656290022,77.0,9.027489340379627e-05
sqlite3_18_1,sqlite3_fuzz,SQL018,windranger,64.3,0.0006719617483538218,69.8,1.6974121253686996
openssl_1_5,client,SSL001,windranger,111.7,0.00011385264195392027,,
openssl_10_5,client,SSL010,windranger,133.5,9.737805139220034e-05,,
openssl_16_6,x509,SSL016,windranger,56.5,0.0007415779321277856,,
openssl_20_4,server,SSL020,windranger,63.5,0.00038707370931175477,,
libtiff_7_1,tiff_read_rgba_fuzzer,TIF007,windranger,34.8,0.00010921641490807883,39.8,0.00010342446665099121
libtiff_10_1,tiff_read_rgba_fuzzer,TIF010,windranger,41.1,0.00011823162250774563,,
libxml2_1_2,libxml2_xml_read_memory_fuzzer,XML001,windranger,50.1,0.00026226338124789994,60.1,0.00012990951538085937
libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,XML008,windranger,64.8,0.00028807241879886365,,
libxml2_12_2,libxml2_xml_read_memory_fuzzer,XML012,windranger,52.5,1.86920166015625e-06,,

