#fuzzer,benchmark,driver,run,execs_done,fuzz_time
aflgo,libtiff_9_1,tiff_read_rgba_fuzzer,0,5791770,518
aflgo,libtiff_9_1,tiff_read_rgba_fuzzer,3,4967951,519
aflgo,libtiff_9_1,tiff_read_rgba_fuzzer,1,5106009,518
aflgo,libtiff_9_1,tiff_read_rgba_fuzzer,8,5569261,515
aflgo,libtiff_9_1,tiff_read_rgba_fuzzer,6,5184944,515
aflgo,libtiff_9_1,tiff_read_rgba_fuzzer,9,5721099,515
aflgo,libtiff_9_1,tiff_read_rgba_fuzzer,2,5422652,519
aflgo,libtiff_9_1,tiff_read_rgba_fuzzer,5,5439387,515
aflgo,libtiff_9_1,tiff_read_rgba_fuzzer,7,5811901,516
aflgo,libtiff_9_1,tiff_read_rgba_fuzzer,4,5744733,515
aflgo,libsndfile_7_1,sndfile_fuzzer,0,480170,568
aflgo,libsndfile_7_1,sndfile_fuzzer,3,467878,568
aflgo,libsndfile_7_1,sndfile_fuzzer,1,482049,567
aflgo,libsndfile_7_1,sndfile_fuzzer,8,466721,567
aflgo,libsndfile_7_1,sndfile_fuzzer,6,479523,568
aflgo,libsndfile_7_1,sndfile_fuzzer,9,467944,568
aflgo,libsndfile_7_1,sndfile_fuzzer,2,483379,568
aflgo,libsndfile_7_1,sndfile_fuzzer,5,477155,568
aflgo,libsndfile_7_1,sndfile_fuzzer,7,474221,568
aflgo,libsndfile_7_1,sndfile_fuzzer,4,477653,568
aflgo,openssl_1_3,bignum,0,732785,588
aflgo,openssl_1_3,bignum,3,121923,588
aflgo,openssl_1_3,bignum,1,588406,587
aflgo,openssl_1_3,bignum,8,670925,588
aflgo,openssl_1_3,bignum,6,426505,588
aflgo,openssl_1_3,bignum,9,568302,588
aflgo,openssl_1_3,bignum,2,345058,588
aflgo,openssl_1_3,bignum,5,724957,588
aflgo,openssl_1_3,bignum,7,578522,588
aflgo,openssl_1_3,bignum,4,724654,588
aflgo,libpng_4_1,libpng_read_fuzzer,0,5643479,599
aflgo,libpng_4_1,libpng_read_fuzzer,3,12064930,599
aflgo,libpng_4_1,libpng_read_fuzzer,1,11140610,599
aflgo,libpng_4_1,libpng_read_fuzzer,8,9680769,599
aflgo,libpng_4_1,libpng_read_fuzzer,6,5795106,599
aflgo,libpng_4_1,libpng_read_fuzzer,9,7953081,599
aflgo,libpng_4_1,libpng_read_fuzzer,2,11254992,599
aflgo,libpng_4_1,libpng_read_fuzzer,5,11595405,599
aflgo,libpng_4_1,libpng_read_fuzzer,7,8249079,599
aflgo,libpng_4_1,libpng_read_fuzzer,4,10982161,599
aflgo,openssl_12_6,x509,0,12409166,592
aflgo,openssl_12_6,x509,3,12367613,592
aflgo,openssl_12_6,x509,1,12368430,592
aflgo,openssl_12_6,x509,8,12150109,592
aflgo,openssl_12_6,x509,6,12052221,592
aflgo,openssl_12_6,x509,9,12275389,592
aflgo,openssl_12_6,x509,2,12116173,592
aflgo,openssl_12_6,x509,5,12255052,592
aflgo,openssl_12_6,x509,7,12178347,592
aflgo,openssl_12_6,x509,4,11941755,592
aflgo,php_11_2,exif,0,1326917,599
aflgo,php_11_2,exif,3,1554546,599
aflgo,php_11_2,exif,1,1464761,599
aflgo,php_11_2,exif,8,517973,598
aflgo,php_11_2,exif,6,599853,599
aflgo,php_11_2,exif,9,1513500,598
aflgo,php_11_2,exif,2,960438,599
aflgo,php_11_2,exif,5,750371,599
aflgo,php_11_2,exif,7,939832,599
aflgo,php_11_2,exif,4,1189217,599
aflgo,openssl_11_4,server,0,98868,498
aflgo,openssl_11_4,server,3,100705,501
aflgo,openssl_11_4,server,1,101068,500
aflgo,openssl_11_4,server,8,100332,498
aflgo,openssl_11_4,server,6,94667,500
aflgo,openssl_11_4,server,9,101480,499
aflgo,openssl_11_4,server,2,101865,499
aflgo,openssl_11_4,server,5,101226,500
aflgo,openssl_11_4,server,7,101421,500
aflgo,openssl_11_4,server,4,96909,495
aflgo,poppler_9_1,pdf_fuzzer,0,18642,0
aflgo,poppler_9_1,pdf_fuzzer,3,18568,0
aflgo,poppler_9_1,pdf_fuzzer,1,18604,0
aflgo,poppler_9_1,pdf_fuzzer,8,18492,0
aflgo,poppler_9_1,pdf_fuzzer,6,17164,0
aflgo,poppler_9_1,pdf_fuzzer,9,18641,0
aflgo,poppler_9_1,pdf_fuzzer,2,18568,0
aflgo,poppler_9_1,pdf_fuzzer,5,18641,0
aflgo,poppler_9_1,pdf_fuzzer,7,NaN,NaN
aflgo,poppler_9_1,pdf_fuzzer,4,18455,0
aflgo,php_16_3,unserialize,0,11324863,600
aflgo,php_16_3,unserialize,3,11289346,600
aflgo,php_16_3,unserialize,1,11316350,600
aflgo,php_16_3,unserialize,8,11599095,600
aflgo,php_16_3,unserialize,6,11663475,600
aflgo,php_16_3,unserialize,9,11548000,599
aflgo,php_16_3,unserialize,2,11222980,600
aflgo,php_16_3,unserialize,5,11270140,600
aflgo,php_16_3,unserialize,7,11673421,600
aflgo,php_16_3,unserialize,4,11272154,600
aflgo,poppler_3_1,pdf_fuzzer,0,28191,0
aflgo,poppler_3_1,pdf_fuzzer,3,26791,0
aflgo,poppler_3_1,pdf_fuzzer,1,28233,0
aflgo,poppler_3_1,pdf_fuzzer,8,26726,0
aflgo,poppler_3_1,pdf_fuzzer,6,26726,0
aflgo,poppler_3_1,pdf_fuzzer,9,26725,0
aflgo,poppler_3_1,pdf_fuzzer,2,26724,0
aflgo,poppler_3_1,pdf_fuzzer,5,26726,0
aflgo,poppler_3_1,pdf_fuzzer,7,26726,0
aflgo,poppler_3_1,pdf_fuzzer,4,26726,0
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,0,1566773,578
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,3,1499643,579
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,1,1540292,578
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,8,1487784,579
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,6,1485018,579
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,9,1388260,577
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,2,1507467,579
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,5,1486868,579
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,7,1485127,579
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,4,1497275,579
aflgo,openssl_1_5,client,0,135989,494
aflgo,openssl_1_5,client,3,135292,495
aflgo,openssl_1_5,client,1,134083,494
aflgo,openssl_1_5,client,8,133540,490
aflgo,openssl_1_5,client,6,136651,495
aflgo,openssl_1_5,client,9,134685,494
aflgo,openssl_1_5,client,2,136099,495
aflgo,openssl_1_5,client,5,134003,493
aflgo,openssl_1_5,client,7,133766,495
aflgo,openssl_1_5,client,4,133169,492
