#fuzzer,benchmark,driver,run,execs_done,fuzz_time
aflplusplus,libtiff_9_1,tiff_read_rgba_fuzzer,0,289409,529
aflplusplus,libtiff_9_1,tiff_read_rgba_fuzzer,3,124215,530
aflplusplus,libtiff_9_1,tiff_read_rgba_fuzzer,1,387707,529
aflplusplus,libtiff_9_1,tiff_read_rgba_fuzzer,8,139410,527
aflplusplus,libtiff_9_1,tiff_read_rgba_fuzzer,6,310194,527
aflplusplus,libtiff_9_1,tiff_read_rgba_fuzzer,9,673333,527
aflplusplus,libtiff_9_1,tiff_read_rgba_fuzzer,2,614066,530
aflplusplus,libtiff_9_1,tiff_read_rgba_fuzzer,5,337607,528
aflplusplus,libtiff_9_1,tiff_read_rgba_fuzzer,7,216424,527
aflplusplus,libtiff_9_1,tiff_read_rgba_fuzzer,4,197508,528
aflplusplus,libsndfile_7_1,sndfile_fuzzer,0,340007,543
aflplusplus,libsndfile_7_1,sndfile_fuzzer,3,421624,540
aflplusplus,libsndfile_7_1,sndfile_fuzzer,1,438254,541
aflplusplus,libsndfile_7_1,sndfile_fuzzer,8,466821,540
aflplusplus,libsndfile_7_1,sndfile_fuzzer,6,445021,544
aflplusplus,libsndfile_7_1,sndfile_fuzzer,9,399380,541
aflplusplus,libsndfile_7_1,sndfile_fuzzer,2,393657,544
aflplusplus,libsndfile_7_1,sndfile_fuzzer,5,500485,544
aflplusplus,libsndfile_7_1,sndfile_fuzzer,7,463963,545
aflplusplus,libsndfile_7_1,sndfile_fuzzer,4,426496,543
aflplusplus,openssl_1_3,bignum,0,52318,587
aflplusplus,openssl_1_3,bignum,3,12175,587
aflplusplus,openssl_1_3,bignum,1,60085,587
aflplusplus,openssl_1_3,bignum,8,73026,587
aflplusplus,openssl_1_3,bignum,6,18103,587
aflplusplus,openssl_1_3,bignum,9,17490,587
aflplusplus,openssl_1_3,bignum,2,58513,587
aflplusplus,openssl_1_3,bignum,5,61790,587
aflplusplus,openssl_1_3,bignum,7,50579,587
aflplusplus,openssl_1_3,bignum,4,6697,587
aflplusplus,libpng_4_1,libpng_read_fuzzer,0,1027079,595
aflplusplus,libpng_4_1,libpng_read_fuzzer,3,1034697,595
aflplusplus,libpng_4_1,libpng_read_fuzzer,1,1033661,595
aflplusplus,libpng_4_1,libpng_read_fuzzer,8,991069,594
aflplusplus,libpng_4_1,libpng_read_fuzzer,6,1021926,595
aflplusplus,libpng_4_1,libpng_read_fuzzer,9,999410,594
aflplusplus,libpng_4_1,libpng_read_fuzzer,2,1027080,595
aflplusplus,libpng_4_1,libpng_read_fuzzer,5,1030103,595
aflplusplus,libpng_4_1,libpng_read_fuzzer,7,1022074,595
aflplusplus,libpng_4_1,libpng_read_fuzzer,4,1013271,594
aflplusplus,openssl_12_6,x509,0,343693,571
aflplusplus,openssl_12_6,x509,3,377319,572
aflplusplus,openssl_12_6,x509,1,383908,571
aflplusplus,openssl_12_6,x509,8,368638,571
aflplusplus,openssl_12_6,x509,6,362454,571
aflplusplus,openssl_12_6,x509,9,360065,571
aflplusplus,openssl_12_6,x509,2,347182,571
aflplusplus,openssl_12_6,x509,5,332706,571
aflplusplus,openssl_12_6,x509,7,362863,571
aflplusplus,openssl_12_6,x509,4,378591,572
aflplusplus,php_11_2,exif,0,135990,587
aflplusplus,php_11_2,exif,3,136834,587
aflplusplus,php_11_2,exif,1,136291,587
aflplusplus,php_11_2,exif,8,134079,587
aflplusplus,php_11_2,exif,6,139132,588
aflplusplus,php_11_2,exif,9,136015,587
aflplusplus,php_11_2,exif,2,137764,587
aflplusplus,php_11_2,exif,5,138220,588
aflplusplus,php_11_2,exif,7,135054,587
aflplusplus,php_11_2,exif,4,138596,588
aflplusplus,openssl_11_4,server,0,43660,463
aflplusplus,openssl_11_4,server,3,42389,460
aflplusplus,openssl_11_4,server,1,42301,463
aflplusplus,openssl_11_4,server,8,39767,455
aflplusplus,openssl_11_4,server,6,44142,461
aflplusplus,openssl_11_4,server,9,42365,458
aflplusplus,openssl_11_4,server,2,41567,461
aflplusplus,openssl_11_4,server,5,42422,461
aflplusplus,openssl_11_4,server,7,43146,459
aflplusplus,openssl_11_4,server,4,43464,460
aflplusplus,poppler_9_1,pdf_fuzzer,0,7508,0
aflplusplus,poppler_9_1,pdf_fuzzer,3,7536,0
aflplusplus,poppler_9_1,pdf_fuzzer,1,7485,0
aflplusplus,poppler_9_1,pdf_fuzzer,8,7617,0
aflplusplus,poppler_9_1,pdf_fuzzer,6,7607,0
aflplusplus,poppler_9_1,pdf_fuzzer,9,7109,0
aflplusplus,poppler_9_1,pdf_fuzzer,2,7515,0
aflplusplus,poppler_9_1,pdf_fuzzer,5,7550,0
aflplusplus,poppler_9_1,pdf_fuzzer,7,7449,0
aflplusplus,poppler_9_1,pdf_fuzzer,4,7465,0
aflplusplus,php_16_3,unserialize,0,118894,590
aflplusplus,php_16_3,unserialize,3,119688,590
aflplusplus,php_16_3,unserialize,1,118897,590
aflplusplus,php_16_3,unserialize,8,124863,591
aflplusplus,php_16_3,unserialize,6,124580,591
aflplusplus,php_16_3,unserialize,9,124332,591
aflplusplus,php_16_3,unserialize,2,119969,590
aflplusplus,php_16_3,unserialize,5,119860,590
aflplusplus,php_16_3,unserialize,7,125076,591
aflplusplus,php_16_3,unserialize,4,119613,590
aflplusplus,poppler_3_1,pdf_fuzzer,0,8546,0
aflplusplus,poppler_3_1,pdf_fuzzer,3,8590,0
aflplusplus,poppler_3_1,pdf_fuzzer,1,8570,0
aflplusplus,poppler_3_1,pdf_fuzzer,8,8546,0
aflplusplus,poppler_3_1,pdf_fuzzer,6,8571,0
aflplusplus,poppler_3_1,pdf_fuzzer,9,8543,0
aflplusplus,poppler_3_1,pdf_fuzzer,2,8595,0
aflplusplus,poppler_3_1,pdf_fuzzer,5,8596,0
