#fuzzer,benchmark,driver,run,execs_done,fuzz_time
ffd,libtiff_9_1,tiff_read_rgba_fuzzer,0,2245005,537
ffd,libtiff_9_1,tiff_read_rgba_fuzzer,3,2050182,537
ffd,libtiff_9_1,tiff_read_rgba_fuzzer,1,2113610,537
ffd,libtiff_9_1,tiff_read_rgba_fuzzer,8,1942792,534
ffd,libtiff_9_1,tiff_read_rgba_fuzzer,6,2092031,534
ffd,libtiff_9_1,tiff_read_rgba_fuzzer,9,1045351,534
ffd,libtiff_9_1,tiff_read_rgba_fuzzer,2,1247711,538
ffd,libtiff_9_1,tiff_read_rgba_fuzzer,5,1139751,535
ffd,libtiff_9_1,tiff_read_rgba_fuzzer,7,1305796,535
ffd,libtiff_9_1,tiff_read_rgba_fuzzer,4,2113015,535
ffd,libsndfile_7_1,sndfile_fuzzer,0,579567,547
ffd,libsndfile_7_1,sndfile_fuzzer,3,575136,548
ffd,libsndfile_7_1,sndfile_fuzzer,1,308067,547
ffd,libsndfile_7_1,sndfile_fuzzer,8,300972,548
ffd,libsndfile_7_1,sndfile_fuzzer,6,293386,549
ffd,libsndfile_7_1,sndfile_fuzzer,9,598725,548
ffd,libsndfile_7_1,sndfile_fuzzer,2,308375,549
ffd,libsndfile_7_1,sndfile_fuzzer,5,294157,549
ffd,libsndfile_7_1,sndfile_fuzzer,7,564154,548
ffd,libsndfile_7_1,sndfile_fuzzer,4,326258,548
ffd,openssl_1_3,bignum,0,13148,596
ffd,openssl_1_3,bignum,3,2665,596
ffd,openssl_1_3,bignum,1,4305,596
ffd,openssl_1_3,bignum,8,57995,596
ffd,openssl_1_3,bignum,6,32406,597
ffd,openssl_1_3,bignum,9,13117,597
ffd,openssl_1_3,bignum,2,33194,596
ffd,openssl_1_3,bignum,5,39274,596
ffd,openssl_1_3,bignum,7,5182,596
ffd,openssl_1_3,bignum,4,67644,596
ffd,libpng_4_1,libpng_read_fuzzer,0,2293347,600
ffd,libpng_4_1,libpng_read_fuzzer,3,2271833,600
ffd,libpng_4_1,libpng_read_fuzzer,1,2527810,600
ffd,libpng_4_1,libpng_read_fuzzer,8,2362754,599
ffd,libpng_4_1,libpng_read_fuzzer,6,2406569,599
ffd,libpng_4_1,libpng_read_fuzzer,9,2344916,599
ffd,libpng_4_1,libpng_read_fuzzer,2,3070892,600
ffd,libpng_4_1,libpng_read_fuzzer,5,2444014,600
ffd,libpng_4_1,libpng_read_fuzzer,7,2443610,599
ffd,libpng_4_1,libpng_read_fuzzer,4,2646208,600
ffd,openssl_12_6,x509,0,285052,576
ffd,openssl_12_6,x509,3,158696,576
ffd,openssl_12_6,x509,1,343219,576
ffd,openssl_12_6,x509,8,259773,575
ffd,openssl_12_6,x509,6,374502,575
ffd,openssl_12_6,x509,9,328980,577
ffd,openssl_12_6,x509,2,215735,576
ffd,openssl_12_6,x509,5,324622,575
ffd,openssl_12_6,x509,7,169015,575
ffd,openssl_12_6,x509,4,363974,576
ffd,php_11_2,exif,0,909283,597
ffd,php_11_2,exif,3,1617862,597
ffd,php_11_2,exif,1,1348398,597
ffd,php_11_2,exif,8,861875,597
ffd,php_11_2,exif,6,1314694,597
ffd,php_11_2,exif,9,556431,597
ffd,php_11_2,exif,2,1038872,597
ffd,php_11_2,exif,5,665717,597
ffd,php_11_2,exif,7,473993,597
