target,program,bug,fuzzer,survival_time_reached,survival_ci_reached,survival_time_triggered,survival_ci_triggered
poppler_9_1,pdf_fuzzer,PDF009,afl,59.8,2.8290165815782355,,
php_11_2,exif,PHP011,afl,110.8,0.000615024158207324,115.8,0.0001206323146381935
libpng_4_1,libpng_read_fuzzer,PNG004,afl,19.0,6.100731751236053e-05,,
libsndfile_7_1,sndfile_fuzzer,SND007,afl,72.7,0.00015311488699300342,87.7,0.00027361945714290514
sqlite3_18_1,sqlite3_fuzz,SQL018,afl,67.8,0.00021475492071560927,72.8,0.0005588850448411858
sqlite3_20_1,sqlite3_fuzz,SQL020,afl,131.0,0.0008010265200786306,131.0,0.0008010265200786306
openssl_1_5,client,SSL001,afl,36.4,0.0002794425224205929,,
openssl_10_5,client,SSL010,afl,27.2,1.726483739650053e-05,,
openssl_16_6,x509,SSL016,afl,24.6,6.641093572943427e-05,,
openssl_20_4,server,SSL020,afl,27.0,1.982587753952455e-05,594.9,10.055869712859533
libtiff_7_1,tiff_read_rgba_fuzzer,TIF007,afl,36.4,0.0002794425224205929,41.4,2.8934915673836635e-05
libtiff_10_1,tiff_read_rgba_fuzzer,TIF010,afl,38.9,3.084182739257812e-05,,
libxml2_1_2,libxml2_xml_read_memory_fuzzer,XML001,afl,39.4,0.0005955787329666141,44.4,0.00010576898694133215
libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,XML008,afl,45.5,2.263214338941224,,
libxml2_12_2,libxml2_xml_read_memory_fuzzer,XML012,afl,40.0,4.4631470979168866e-05,,

