target,program,bug,fuzzer,survival_time_reached,survival_ci_reached,survival_time_triggered,survival_ci_triggered
poppler_9_1,pdf_fuzzer,PDF009,aflgo,182.5,0.000408923910459386,,
php_11_2,exif,PHP011,aflgo,141.8,0.0002618217127837412,146.8,0.0002610465766158168
libpng_4_1,libpng_read_fuzzer,PNG004,aflgo,28.8,3.6045798416449265e-05,,
libsndfile_7_1,sndfile_fuzzer,SND007,aflgo,103.8,0.0005953722725361056,128.8,0.00016578037936148748
sqlite3_18_1,sqlite3_fuzz,SQL018,aflgo,83.6,0.0004499557052009813,88.6,0.00035834355776234587
sqlite3_20_1,sqlite3_fuzz,SQL020,aflgo,595.16,10.95394982127899,595.16,10.95394982127899
openssl_1_5,client,SSL001,aflgo,264.8,0.0007783603499368237,,
openssl_10_5,client,SSL010,aflgo,261.4,0.0009478161136468381,,
openssl_16_6,x509,SSL016,aflgo,209.0,0.0004205994490003822,,
openssl_20_4,server,SSL020,aflgo,259.2,0.0011522896751954546,,
libtiff_7_1,tiff_read_rgba_fuzzer,TIF007,aflgo,55.6,0.0008760994243073446,60.6,0.0005337675451254088
libtiff_10_1,tiff_read_rgba_fuzzer,TIF010,aflgo,61.7,0.0004608093914211102,,
libxml2_1_2,libxml2_xml_read_memory_fuzzer,XML001,aflgo,70.1,0.00017295419034201465,75.1,5.369469992466381
libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,XML008,aflgo,79.9,2.771858998646209,,
libxml2_12_2,libxml2_xml_read_memory_fuzzer,XML012,aflgo,73.4,0.0001305232883079084,,

