target,program,bug,fuzzer,survival_time_reached,survival_ci_reached,survival_time_triggered,survival_ci_triggered
poppler_9_1,pdf_fuzzer,PDF009,aflplusplus,75.7,0.00014025241739393606,,
php_11_2,exif,PHP011,aflplusplus,157.1,0.0004359048806825391,162.1,0.0005281875733580147
libpng_4_1,libpng_read_fuzzer,PNG004,aflplusplus,32.3,0.00034381371996837116,,
libsndfile_7_1,sndfile_fuzzer,SND007,aflplusplus,130.7,0.00047390805682341906,140.7,0.0005894716441842633
sqlite3_18_1,sqlite3_fuzz,SQL018,aflplusplus,44.1,0.00010528683834504815,44.1,0.00010528683834504815
openssl_1_5,client,SSL001,aflplusplus,88.1,2.5928342409839145,,
openssl_10_5,client,SSL010,aflplusplus,41.6,0.00010027922849272457,,
openssl_16_6,x509,SSL016,aflplusplus,39.7,7.534702970875422e-05,,
openssl_20_4,server,SSL020,aflplusplus,41.5,9.371674580865605e-05,,
libtiff_7_1,tiff_read_rgba_fuzzer,TIF007,aflplusplus,53.2,0.0008557540204551336,53.2,0.0008557540204551336
libtiff_10_1,tiff_read_rgba_fuzzer,TIF010,aflplusplus,54.0,3.96517550790491e-05,,
libxml2_1_2,libxml2_xml_read_memory_fuzzer,XML001,aflplusplus,58.2,0.00016448709095632626,94.2,2.263213094774595
libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,XML008,aflplusplus,58.8,2.592836494783831,,
libxml2_12_2,libxml2_xml_read_memory_fuzzer,XML012,aflplusplus,53.1,6.555543654790945e-05,,

