target,program,bug,fuzzer,survival_time_reached,survival_ci_reached,survival_time_triggered,survival_ci_triggered
poppler_9_1,pdf_fuzzer,PDF009,ffd,69.0,0.00012634752444304475,,
php_11_2,exif,PHP011,ffd,124.7,0.0008232576120547629,129.7,0.0008886673014779879
libpng_4_1,libpng_read_fuzzer,PNG004,ffd,19.7,0.00029778936648330704,,
libsndfile_7_1,sndfile_fuzzer,SND007,ffd,72.5,3.7384033203125e-06,117.5,8.92531559645619e-05
sqlite3_18_1,sqlite3_fuzz,SQL018,ffd,105.5,0.0013284449206260637,110.5,0.00018571061748896353
openssl_1_5,client,SSL001,ffd,48.4,0.0005770446833650509,,
openssl_10_5,client,SSL010,ffd,27.7,0.000153756039551831,,
openssl_16_6,x509,SSL016,ffd,28.3,4.2877200447367475e-05,,
openssl_20_4,server,SSL020,ffd,28.3,4.2877200447367475e-05,,
libtiff_7_1,tiff_read_rgba_fuzzer,TIF007,ffd,40.5,6.419898208385445e-05,45.5,0.0001085264343235389
libtiff_10_1,tiff_read_rgba_fuzzer,TIF010,ffd,40.6,8.729892186367042e-05,,
libxml2_1_2,libxml2_xml_read_memory_fuzzer,XML001,ffd,38.1,4.5556398219356005e-05,48.1,7.16297002076436e-05
libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,XML008,ffd,42.9,0.00017149988896722105,,
libxml2_12_2,libxml2_xml_read_memory_fuzzer,XML012,ffd,42.5,2.1918332312712478e-06,,

