target,program,bug,fuzzer,survival_time_reached,survival_ci_reached,survival_time_triggered,survival_ci_triggered
poppler_9_1,pdf_fuzzer,PDF009,windranger,99.0,5.724763860508453e-05,,
libpng_4_1,libpng_read_fuzzer,PNG004,windranger,16.9,3.705695237667264e-05,,
libsndfile_7_1,sndfile_fuzzer,SND007,windranger,62.4,0.0002926942407245514,92.4,0.00028722520319701184
sqlite3_18_1,sqlite3_fuzz,SQL018,windranger,56.9,0.0002337081455875663,61.9,0.00022819767822751183
sqlite3_20_1,sqlite3_fuzz,SQL020,windranger,596.03,13.477433642409256,596.03,13.477433642409256
openssl_1_5,client,SSL001,windranger,111.6,0.0002520790140218335,,
openssl_10_5,client,SSL010,windranger,129.0,8.35932395152967e-05,,
openssl_16_6,x509,SSL016,windranger,63.4,6.497996684972122e-05,,
openssl_20_4,server,SSL020,windranger,59.4,6.934964878046937e-05,,
libtiff_7_1,tiff_read_rgba_fuzzer,TIF007,windranger,41.9,0.00010947004696974935,46.9,0.0005836954440912144
libtiff_10_1,tiff_read_rgba_fuzzer,TIF010,windranger,47.3,0.00020092613710177612,,
libxml2_1_2,libxml2_xml_read_memory_fuzzer,XML001,windranger,46.4,8.234570564405079e-05,56.4,8.998900563448513e-05
libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,XML008,windranger,51.9,0.0002976861362680528,,
libxml2_12_2,libxml2_xml_read_memory_fuzzer,XML012,windranger,61.5,4.242923077987611e-05,,

